empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
PTNR|9|NASDAQ|2020|01|15|15|30|1900|4.32|4.21|4.24|4.32|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|99|NASDAQ|2019|09|06|15|30|2200|4.49|4.33|4.33|4.46|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|98|NASDAQ|2019|09|09|15|30|13300|4.48|4.06|4.4|4.25|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|97|NASDAQ|2019|09|10|15|30|7300|4.48|4.15|4.32|4.44|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|96|NASDAQ|2019|09|11|15|30|2200|4.48|4.2|4.21|4.48|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|95|NASDAQ|2019|09|12|15|30|4100|4.26|4.2|4.26|4.25|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|94|NASDAQ|2019|09|13|15|30|100|4.24|4.24|4.24|4.24|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|93|NASDAQ|2019|09|16|15|30|500|4.27|4.24|4.27|4.24|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|92|NASDAQ|2019|09|17|15|30|600|4.3|4.25|4.3|4.25|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|91|NASDAQ|2019|09|18|15|30|300|4.3|4.3|4.3|4.3|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|90|NASDAQ|2019|09|19|15|30|600|4.35|4.2|4.2|4.35|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|8|NASDAQ|2020|01|16|15|30|1400|4.23|4.09|4.09|4.19|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|89|NASDAQ|2019|09|20|15|30|21800|4.22|3.95|4.22|4.15|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|88|NASDAQ|2019|09|23|15|30|4500|4.24|4.03|4.24|4.03|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|87|NASDAQ|2019|09|24|15|30|10200|4.61|4.4|4.56|4.4|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|86|NASDAQ|2019|09|25|15|30|6500|4.75|4.57|4.73|4.7|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|85|NASDAQ|2019|09|26|15|30|1500|4.81|4.49|4.79|4.79|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|84|NASDAQ|2019|09|27|15|30|400|4.82|4.82|4.82|4.82|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|83|NASDAQ|2019|09|30|15|30|2800|4.85|4.67|4.71|4.67|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|82|NASDAQ|2019|10|01|15|30|6200|4.85|4.79|4.85|4.79|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|81|NASDAQ|2019|10|02|15|30|2400|4.81|4.5|4.51|4.81|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|80|NASDAQ|2019|10|03|15|30|200|4.51|4.51|4.51|4.51|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
PTNR|7|NASDAQ|2020|01|17|15|30|0|4.09|4.09|4.09|4.09|wirelesscommunications|46.099998|0.9|1|80|-|2923|israel|1.59|1.26|-|Feb 25 BMO|technology|1.8
