empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
QNST|9|NASDAQ|2020|01|15|15|30|283100|14.7|14.52|14.64|14.52|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|99|NASDAQ|2019|09|06|15|30|636500|11.6|11.29|11.47|11.5|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|98|NASDAQ|2019|09|09|15|30|697300|12.16|11.43|12.08|11.49|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|97|NASDAQ|2019|09|10|15|30|729700|12.4|11.87|12.34|12.05|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|96|NASDAQ|2019|09|11|15|30|854500|12.78|12.28|12.63|12.41|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|95|NASDAQ|2019|09|12|15|30|532300|12.89|12.5|12.77|12.6|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|94|NASDAQ|2019|09|13|15|30|553100|13.03|12.65|12.95|12.78|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|93|NASDAQ|2019|09|16|15|30|563700|13.05|12.66|12.79|12.87|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|92|NASDAQ|2019|09|17|15|30|435500|13.05|12.63|12.94|12.81|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|91|NASDAQ|2019|09|18|15|30|567700|13.06|12.33|12.63|12.95|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|90|NASDAQ|2019|09|19|15|30|747500|12.9|12.39|12.49|12.65|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|8|NASDAQ|2020|01|16|15|30|389100|14.73|14.5|14.55|14.65|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|89|NASDAQ|2019|09|20|15|30|2512000|12.83|12.29|12.65|12.41|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|88|NASDAQ|2019|09|23|15|30|599000|12.77|12.34|12.61|12.56|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|87|NASDAQ|2019|09|24|15|30|725900|12.75|12.36|12.4|12.66|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|86|NASDAQ|2019|09|25|15|30|480300|12.79|12.35|12.7|12.41|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|85|NASDAQ|2019|09|26|15|30|455500|12.82|12.46|12.75|12.6|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|84|NASDAQ|2019|09|27|15|30|1112900|12.91|12.5|12.79|12.74|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|83|NASDAQ|2019|09|30|15|30|989500|12.81|12.42|12.59|12.8|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|82|NASDAQ|2019|10|01|15|30|834700|12.75|11.68|11.7|12.68|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|81|NASDAQ|2019|10|02|15|30|614200|11.81|11.43|11.64|11.67|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
QNST|80|NASDAQ|2019|10|03|15|30|400300|12.02|11.58|11.92|11.64|internetsoftwareservices|2.4|1.7|1.7|11.71|-|637|usa|0|0|24.360001|Feb 06 AMC|technology|95.5
