empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
RBZ|9|NASDAQ|2020|01|15|15|30|4491200|1.99|1.1|1.84|1.12|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|99|NASDAQ|2019|09|06|15|30|80400|1.78|1.7|1.71|1.72|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|98|NASDAQ|2019|09|09|15|30|42600|1.79|1.66|1.7|1.71|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|97|NASDAQ|2019|09|10|15|30|56800|1.814|1.71|1.75|1.72|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|96|NASDAQ|2019|09|11|15|30|391500|2.09|1.729|1.93|1.78|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|95|NASDAQ|2019|09|12|15|30|328400|2.25|1.81|2.19|1.97|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|94|NASDAQ|2019|09|13|15|30|490700|2.48|2.15|2.25|2.25|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|93|NASDAQ|2019|09|16|15|30|173900|2.43|2.055|2.264|2.18|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|92|NASDAQ|2019|09|17|15|30|79100|2.306|2.12|2.2|2.29|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|91|NASDAQ|2019|09|18|15|30|120100|2.231|1.98|1.98|2.21|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|90|NASDAQ|2019|09|19|15|30|94100|2.123|1.93|1.94|1.96|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|8|NASDAQ|2020|01|16|15|30|7475500|2.38|1.52|1.62|2.06|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|89|NASDAQ|2019|09|20|15|30|906800|2.743|1.92|2.58|1.92|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|88|NASDAQ|2019|09|23|15|30|1754200|1.9|1.5|1.58|1.7|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|87|NASDAQ|2019|09|24|15|30|515700|1.57|1.41|1.455|1.51|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|86|NASDAQ|2019|09|25|15|30|299800|1.48|1.3|1.35|1.45|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|85|NASDAQ|2019|09|26|15|30|314200|1.38|1.16|1.25|1.38|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|84|NASDAQ|2019|09|27|15|30|111300|1.27|1.16|1.21|1.26|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|83|NASDAQ|2019|09|30|15|30|203600|1.24|1.01|1.02|1.22|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|82|NASDAQ|2019|10|01|15|30|245900|1.1|0.91|1.05|1.04|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|81|NASDAQ|2019|10|02|15|30|60900|1.08|0.955|1.04|1.03|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|80|NASDAQ|2019|10|03|15|30|237300|1.29|1.05|1.26|1.05|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|7|NASDAQ|2020|01|17|15|30|867000|1.59|1.38|1.42|1.59|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|79|NASDAQ|2019|10|04|15|30|148900|1.28|1.13|1.18|1.25|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|78|NASDAQ|2019|10|07|15|30|84700|1.216|1.1|1.15|1.18|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|77|NASDAQ|2019|10|08|15|30|99300|1.26|1.08|1.173|1.17|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|76|NASDAQ|2019|10|09|15|30|56800|1.24|1.11|1.17|1.2|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|75|NASDAQ|2019|10|10|15|30|104800|1.2|1.08|1.11|1.17|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|74|NASDAQ|2019|10|11|15|30|36100|1.132|1.08|1.08|1.12|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|73|NASDAQ|2019|10|14|15|30|170200|1.23|1.05|1.131|1.1|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|72|NASDAQ|2019|10|15|15|30|298400|1.28|1.13|1.13|1.19|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|71|NASDAQ|2019|10|16|15|30|880000|1.38|1.134|1.295|1.15|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|70|NASDAQ|2019|10|17|15|30|329600|1.31|1.12|1.28|1.31|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|6|NASDAQ|2020|01|21|15|30|589800|1.39|1.26|1.35|1.28|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|69|NASDAQ|2019|10|18|15|30|402500|1.43|1.23|1.245|1.34|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|68|NASDAQ|2019|10|21|15|30|298800|1.34|1.18|1.24|1.27|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|67|NASDAQ|2019|10|22|15|30|110700|1.226|1.18|1.2|1.22|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|66|NASDAQ|2019|10|23|15|30|344600|1.3|1.18|1.18|1.22|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|65|NASDAQ|2019|10|24|15|30|941700|1.35|1.15|1.32|1.19|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|64|NASDAQ|2019|10|25|15|30|13920800|2.4|1.42|1.95|1.47|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|63|NASDAQ|2019|10|28|14|30|1669100|1.86|1.5|1.54|1.77|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|62|NASDAQ|2019|10|29|14|30|837600|1.52|1.27|1.3|1.47|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|61|NASDAQ|2019|10|30|14|30|778800|1.43|1.24|1.42|1.3|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|60|NASDAQ|2019|10|31|14|30|488700|1.39|1.27|1.3|1.39|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|5|NASDAQ|2020|01|22|15|30|320200|1.38|1.22|1.34|1.29|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|59|NASDAQ|2019|11|01|14|30|318100|1.31|1.2|1.23|1.31|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|58|NASDAQ|2019|11|04|15|30|689800|1.45|1.22|1.4|1.25|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|57|NASDAQ|2019|11|05|15|30|337600|1.25|1.21|1.23|1.21|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|56|NASDAQ|2019|11|06|15|30|189000|1.24|1.16|1.19|1.24|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|55|NASDAQ|2019|11|07|15|30|281100|1.169|1.1|1.13|1.16|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|54|NASDAQ|2019|11|08|15|30|90100|1.18|1.11|1.18|1.14|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|53|NASDAQ|2019|11|11|15|30|135200|1.17|1.11|1.12|1.17|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|52|NASDAQ|2019|11|12|15|30|264600|1.14|1|1.1|1.14|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|51|NASDAQ|2019|11|13|15|30|481900|1.19|1.06|1.122|1.09|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|50|NASDAQ|2019|11|14|15|30|129000|1.15|1.08|1.1|1.12|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|4|NASDAQ|2020|01|23|15|30|710600|1.53|1.35|1.42|1.43|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|49|NASDAQ|2019|11|15|15|30|194500|1.19|1.082|1.18|1.09|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|48|NASDAQ|2019|11|18|15|30|175000|1.17|1.1|1.16|1.17|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|47|NASDAQ|2019|11|19|15|30|634400|1.23|1.1|1.21|1.116|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|46|NASDAQ|2019|11|20|15|30|225200|1.24|1.14|1.22|1.2|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|45|NASDAQ|2019|11|21|15|30|254900|1.25|1.16|1.23|1.2|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|44|NASDAQ|2019|11|22|15|30|1752300|1.64|1.17|1.41|1.198|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|43|NASDAQ|2019|11|25|15|30|313100|1.39|1.19|1.19|1.39|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|42|NASDAQ|2019|11|26|15|30|281700|1.3|1.16|1.18|1.2|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|41|NASDAQ|2019|11|27|15|30|494900|1.29|1.18|1.25|1.18|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
RBZ|40|NASDAQ|2019|11|29|15|30|200800|1.25|1.17|1.19|1.25|specialtyretailother|11.98|-|-|-|-|-|singapore|-|-|43.900002|-|services|28.780001
