empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
SEEL|9|NASDAQ|2020|01|15|15|30|185200|1.48|1.4|1.43|1.46|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|99|NASDAQ|2019|09|06|15|30|376900|1.28|1.16|1.27|1.24|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|98|NASDAQ|2019|09|09|15|30|177600|1.29|1.21|1.26|1.29|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|97|NASDAQ|2019|09|10|15|30|319100|1.31|1.22|1.23|1.26|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|96|NASDAQ|2019|09|11|15|30|413100|1.29|1.2|1.27|1.25|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|95|NASDAQ|2019|09|12|15|30|256800|1.28|1.22|1.22|1.26|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|94|NASDAQ|2019|09|13|15|30|247000|1.26|1.22|1.24|1.22|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|93|NASDAQ|2019|09|16|15|30|551800|1.32|1.23|1.31|1.25|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|92|NASDAQ|2019|09|17|15|30|218100|1.33|1.26|1.28|1.3|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|91|NASDAQ|2019|09|18|15|30|242500|1.31|1.22|1.22|1.27|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|90|NASDAQ|2019|09|19|15|30|377600|1.27|1.17|1.2|1.24|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
SEEL|8|NASDAQ|2020|01|16|15|30|179300|1.48|1.42|1.44|1.43|biotechnology|18.700001|2.9|2.9|-|-|5|usa|0|0|75.900002|Feb 06 BMO|healthcare|14.9
