empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
SHIP|9|NASDAQ|2020|01|15|15|30|183700|0.53|0.49|0.51|0.51|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|99|NASDAQ|2019|09|06|15|30|140700|0.62|0.58|0.59|0.61|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|98|NASDAQ|2019|09|09|15|30|156400|0.6|0.58|0.6|0.6|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|97|NASDAQ|2019|09|10|15|30|541000|0.61|0.58|0.6|0.6|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|96|NASDAQ|2019|09|11|15|30|302400|0.61|0.59|0.59|0.61|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|95|NASDAQ|2019|09|12|15|30|501900|0.59|0.56|0.57|0.59|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|94|NASDAQ|2019|09|13|15|30|144400|0.58|0.56|0.58|0.57|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|93|NASDAQ|2019|09|16|15|30|191700|0.6|0.57|0.57|0.6|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|92|NASDAQ|2019|09|17|15|30|143400|0.59|0.57|0.58|0.58|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|91|NASDAQ|2019|09|18|15|30|92200|0.6|0.56|0.57|0.58|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|90|NASDAQ|2019|09|19|15|30|90400|0.59|0.56|0.56|0.57|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|8|NASDAQ|2020|01|16|15|30|78500|0.52|0.5|0.5|0.51|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|89|NASDAQ|2019|09|20|15|30|121300|0.57|0.54|0.54|0.57|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|88|NASDAQ|2019|09|23|15|30|101700|0.56|0.52|0.53|0.55|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|87|NASDAQ|2019|09|24|15|30|200100|0.56|0.52|0.54|0.53|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|86|NASDAQ|2019|09|25|15|30|170400|0.54|0.51|0.52|0.54|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|85|NASDAQ|2019|09|26|15|30|74700|0.53|0.51|0.52|0.51|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|84|NASDAQ|2019|09|27|15|30|149300|0.53|0.5|0.52|0.5|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|83|NASDAQ|2019|09|30|15|30|520500|0.53|0.47|0.48|0.52|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|82|NASDAQ|2019|10|01|15|30|221700|0.52|0.48|0.5|0.48|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|81|NASDAQ|2019|10|02|15|30|175800|0.5|0.47|0.48|0.5|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|80|NASDAQ|2019|10|03|15|30|108100|0.5|0.45|0.47|0.5|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|7|NASDAQ|2020|01|17|15|30|150400|0.52|0.49|0.5|0.5|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|79|NASDAQ|2019|10|04|15|30|495900|0.52|0.46|0.51|0.47|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|78|NASDAQ|2019|10|07|15|30|335000|0.53|0.49|0.52|0.52|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|77|NASDAQ|2019|10|08|15|30|694200|0.55|0.5|0.52|0.52|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|76|NASDAQ|2019|10|09|15|30|422700|0.55|0.52|0.55|0.53|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|75|NASDAQ|2019|10|10|15|30|429400|0.55|0.52|0.54|0.55|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|74|NASDAQ|2019|10|11|15|30|362700|0.55|0.53|0.55|0.53|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|73|NASDAQ|2019|10|14|15|30|3247100|0.68|0.55|0.66|0.55|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|72|NASDAQ|2019|10|15|15|30|1883000|0.69|0.57|0.6|0.69|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|71|NASDAQ|2019|10|16|15|30|466500|0.62|0.57|0.61|0.6|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|70|NASDAQ|2019|10|17|15|30|780500|0.64|0.59|0.64|0.62|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|6|NASDAQ|2020|01|21|15|30|169100|0.5|0.45|0.47|0.48|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|69|NASDAQ|2019|10|18|15|30|319100|0.64|0.6|0.62|0.64|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|68|NASDAQ|2019|10|21|15|30|262600|0.64|0.6|0.61|0.64|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|67|NASDAQ|2019|10|22|15|30|576000|0.61|0.56|0.58|0.61|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|66|NASDAQ|2019|10|23|15|30|974300|0.62|0.55|0.61|0.58|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|65|NASDAQ|2019|10|24|15|30|383700|0.62|0.58|0.61|0.62|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|64|NASDAQ|2019|10|25|15|30|456100|0.68|0.61|0.63|0.61|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|63|NASDAQ|2019|10|28|14|30|1500000|0.73|0.62|0.73|0.63|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|62|NASDAQ|2019|10|29|14|30|1394900|0.77|0.7|0.76|0.74|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|61|NASDAQ|2019|10|30|14|30|480400|0.77|0.71|0.74|0.77|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|60|NASDAQ|2019|10|31|14|30|722200|0.77|0.68|0.71|0.75|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|5|NASDAQ|2020|01|22|15|30|127700|0.48|0.46|0.47|0.48|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
SHIP|59|NASDAQ|2019|11|01|14|30|526200|0.75|0.69|0.74|0.72|shipping|59.599998|-|0.1|-|-|12|greece|7.52|0.48|150.600006|Feb 04 BMO|services|7.6
