empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
SILC|9|NASDAQ|2020|01|15|15|30|22600|36.810001|35.369999|35.599998|36.110001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|99|NASDAQ|2019|09|06|15|30|12100|31.91|31.360001|31.59|31.58|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|98|NASDAQ|2019|09|09|15|30|21800|32.029999|31.459999|31.49|32.029999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|97|NASDAQ|2019|09|10|15|30|27300|32.040001|30.74|32.040001|31|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|96|NASDAQ|2019|09|11|15|30|36200|32.450001|31.49|32.169998|31.5|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|95|NASDAQ|2019|09|12|15|30|16100|32.43|31.84|32.18|32.310001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|94|NASDAQ|2019|09|13|15|30|9900|32.77|31.93|32.66|32.400002|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|93|NASDAQ|2019|09|16|15|30|15100|33.150002|32.299999|32.91|32.310001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|92|NASDAQ|2019|09|17|15|30|20700|32.93|32.580002|32.799999|32.849998|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|91|NASDAQ|2019|09|18|15|30|25500|33.240002|32.900002|33.119999|32.970001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|90|NASDAQ|2019|09|19|15|30|17300|33.419998|32.849998|33|33.200001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|8|NASDAQ|2020|01|16|15|30|27300|35.700001|35.25|35.25|35.650002|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|89|NASDAQ|2019|09|20|15|30|10000|33.209999|32.900002|33.009998|33.110001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|88|NASDAQ|2019|09|23|15|30|16800|32.970001|32.279999|32.610001|32.970001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|87|NASDAQ|2019|09|24|15|30|21300|32.799999|32.400002|32.560001|32.740002|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|86|NASDAQ|2019|09|25|15|30|9400|33.259998|32.450001|33.259998|32.450001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|85|NASDAQ|2019|09|26|15|30|13000|32.900002|32.5|32.709999|32.889999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|84|NASDAQ|2019|09|27|15|30|13200|32.810001|31.84|32.049999|32.810001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|83|NASDAQ|2019|09|30|15|30|19100|32.099998|30.98|31.6|32.060001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|82|NASDAQ|2019|10|01|15|30|16800|31.969999|30.85|31.1|31.969999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|81|NASDAQ|2019|10|02|15|30|10300|31.049999|30.58|30.58|31.02|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|80|NASDAQ|2019|10|03|15|30|12300|30.809999|30.299999|30.52|30.75|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|7|NASDAQ|2020|01|17|15|30|18600|35.84|35.040001|35.599998|35.540001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|79|NASDAQ|2019|10|04|15|30|9300|30.799999|30.34|30.65|30.6|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|78|NASDAQ|2019|10|07|15|30|15100|31.18|30.48|31.18|30.48|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|77|NASDAQ|2019|10|08|15|30|23500|31.040001|29.299999|31|30.889999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|76|NASDAQ|2019|10|09|15|30|18000|31.450001|31.01|31.440001|31.209999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|75|NASDAQ|2019|10|10|15|30|25400|31.540001|30.200001|30.76|31.540001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|74|NASDAQ|2019|10|11|15|30|21000|31.940001|30.719999|31.780001|30.76|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|73|NASDAQ|2019|10|14|15|30|13400|32.200001|31.549999|32.02|31.639999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|72|NASDAQ|2019|10|15|15|30|22200|32.380001|31.42|32.200001|32.040001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|71|NASDAQ|2019|10|16|15|30|17000|32.400002|32.049999|32.25|32.200001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|70|NASDAQ|2019|10|17|15|30|15700|32.540001|32.169998|32.189999|32.389999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|6|NASDAQ|2020|01|21|15|30|36000|35.400002|35.009998|35.279999|35.220001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|69|NASDAQ|2019|10|18|15|30|8200|32.580002|31.41|31.41|32.23|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|68|NASDAQ|2019|10|21|15|30|7300|32.040001|31.530001|31.9|31.700001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|67|NASDAQ|2019|10|22|15|30|11900|32|31.450001|31.450001|31.620001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|66|NASDAQ|2019|10|23|15|30|7900|31.719999|30.92|30.92|31.620001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|65|NASDAQ|2019|10|24|15|30|16600|31.469999|30.559999|31.469999|30.950001|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|64|NASDAQ|2019|10|25|15|30|16800|31.6|31.33|31.360001|31.35|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|63|NASDAQ|2019|10|28|14|30|42700|35.02|32.299999|34.779999|32.299999|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
SILC|62|NASDAQ|2019|10|29|14|30|7900|34.82|33.650002|34.060001|34.82|communicationequipment|43|3.8|5.7|15.21|-|270|israel|0|0|26.91|Jan 29 BMO|technology|51.700001
