empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
STRS|9|NASDAQ|2020|01|15|15|30|7000|30.290001|29.6|30.290001|29.6|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|99|NASDAQ|2019|09|06|15|30|4900|26.74|25.75|26.110001|26.74|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|98|NASDAQ|2019|09|09|15|30|11600|26.700001|25.530001|26|26.6|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|97|NASDAQ|2019|09|10|15|30|14800|27.51|25.700001|26.26|26.290001|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|96|NASDAQ|2019|09|11|15|30|9000|27.02|26.01|26.719999|26.299999|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|95|NASDAQ|2019|09|12|15|30|17100|27|25.92|26.379999|26.58|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|94|NASDAQ|2019|09|13|15|30|8100|26.719999|26.02|26.290001|26.219999|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|93|NASDAQ|2019|09|16|15|30|11900|26.690001|25.780001|26.02|26.299999|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|92|NASDAQ|2019|09|17|15|30|13500|25.950001|25.5|25.52|25.9|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|91|NASDAQ|2019|09|18|15|30|11700|26.040001|25.299999|25.969999|25.32|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|90|NASDAQ|2019|09|19|15|30|11600|26.620001|25.690001|26.6|25.799999|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
STRS|8|NASDAQ|2020|01|16|15|30|3500|30.52|30.059999|30.110001|30.059999|realestatedevelopment|8.3|-|-|-|-|49|usa|3.07|3.07|-|Feb 11 BMO|financial|57.799999
