empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
TXMD|9|NASDAQ|2020|01|15|15|30|6027500|2.69|2.44|2.55|2.46|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|99|NASDAQ|2019|09|06|15|30|1358800|2.91|2.74|2.87|2.79|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|98|NASDAQ|2019|09|09|15|30|2688700|3.12|2.88|3.09|2.88|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|97|NASDAQ|2019|09|10|15|30|3065200|3.3|3.03|3.3|3.09|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|96|NASDAQ|2019|09|11|15|30|2534100|3.46|3.18|3.3|3.25|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|95|NASDAQ|2019|09|12|15|30|2885400|3.38|3.18|3.35|3.29|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|94|NASDAQ|2019|09|13|15|30|2619900|3.5|3.31|3.42|3.31|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|93|NASDAQ|2019|09|16|15|30|3542600|3.72|3.38|3.69|3.4|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|92|NASDAQ|2019|09|17|15|30|4609500|3.95|3.58|3.82|3.73|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|91|NASDAQ|2019|09|18|15|30|3681000|3.93|3.69|3.85|3.84|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|90|NASDAQ|2019|09|19|15|30|3603800|3.98|3.66|3.71|3.84|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|8|NASDAQ|2020|01|16|15|30|5310600|2.62|2.37|2.38|2.59|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|89|NASDAQ|2019|09|20|15|30|5187500|3.77|3.37|3.71|3.71|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|88|NASDAQ|2019|09|23|15|30|2060800|3.86|3.65|3.83|3.68|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|87|NASDAQ|2019|09|24|15|30|2719500|3.85|3.56|3.63|3.8|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|86|NASDAQ|2019|09|25|15|30|9588900|4.32|3.68|4.16|3.68|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|85|NASDAQ|2019|09|26|15|30|4604900|4.31|3.98|4.15|4.2|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|84|NASDAQ|2019|09|27|15|30|4835400|4.22|3.76|3.78|4.2|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|83|NASDAQ|2019|09|30|15|30|3601100|3.98|3.55|3.63|3.8|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|82|NASDAQ|2019|10|01|15|30|4190300|3.71|3.3|3.46|3.55|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|81|NASDAQ|2019|10|02|15|30|2955600|3.64|3.35|3.52|3.42|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|80|NASDAQ|2019|10|03|15|30|2096300|3.63|3.44|3.62|3.51|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|7|NASDAQ|2020|01|17|15|30|2777900|2.44|2.3|2.31|2.4|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|79|NASDAQ|2019|10|04|15|30|1968000|3.68|3.47|3.56|3.62|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|78|NASDAQ|2019|10|07|15|30|1872600|3.69|3.5|3.69|3.55|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|77|NASDAQ|2019|10|08|15|30|1411600|3.69|3.55|3.61|3.65|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|76|NASDAQ|2019|10|09|15|30|1053900|3.71|3.6|3.68|3.64|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|75|NASDAQ|2019|10|10|15|30|1926800|3.96|3.7|3.86|3.7|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|74|NASDAQ|2019|10|11|15|30|1675600|3.98|3.84|3.85|3.9|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|73|NASDAQ|2019|10|14|15|30|1539600|4|3.8|3.93|3.84|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|72|NASDAQ|2019|10|15|15|30|1720300|4|3.85|3.92|3.93|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|71|NASDAQ|2019|10|16|15|30|3046800|3.97|3.6|3.69|3.93|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|70|NASDAQ|2019|10|17|15|30|2780500|3.9|3.69|3.74|3.76|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|6|NASDAQ|2020|01|21|15|30|10868000|2.9|2.32|2.81|2.33|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|69|NASDAQ|2019|10|18|15|30|2448400|3.81|3.64|3.67|3.71|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|68|NASDAQ|2019|10|21|15|30|1670400|3.86|3.62|3.8|3.71|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|67|NASDAQ|2019|10|22|15|30|1286700|3.82|3.68|3.76|3.8|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|66|NASDAQ|2019|10|23|15|30|1763900|3.81|3.64|3.68|3.74|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|65|NASDAQ|2019|10|24|15|30|9873600|3.2|2.85|2.87|3|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|64|NASDAQ|2019|10|25|15|30|23594100|2.99|2.45|2.84|2.67|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|63|NASDAQ|2019|10|28|14|30|4171900|2.94|2.8|2.85|2.86|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|62|NASDAQ|2019|10|29|14|30|3794200|2.92|2.81|2.9|2.86|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|61|NASDAQ|2019|10|30|14|30|5672400|2.95|2.61|2.68|2.95|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|60|NASDAQ|2019|10|31|14|30|2698800|2.69|2.56|2.66|2.65|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|5|NASDAQ|2020|01|22|15|30|4523700|2.93|2.64|2.7|2.83|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|59|NASDAQ|2019|11|01|14|30|3373800|2.87|2.63|2.86|2.66|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|58|NASDAQ|2019|11|04|15|30|2403800|2.94|2.8|2.8|2.86|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
TXMD|57|NASDAQ|2019|11|05|15|30|3474500|2.83|2.61|2.71|2.8|drugmanufacturersmajor|7.4|2.7|2.8|-|-|241|usa|-|-|23.299999|Feb 20 AMC|healthcare|64.400002
