empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
WLDN|9|NASDAQ|2020|01|15|15|30|51500|35.310001|34.110001|35.09|34.220001|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|99|NASDAQ|2019|09|06|15|30|33700|35.77|35.119999|35.310001|35.48|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|98|NASDAQ|2019|09|09|15|30|33800|36.470001|35.209999|36.16|35.400002|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|97|NASDAQ|2019|09|10|15|30|43200|37.41|35.599998|36.93|36.310001|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|96|NASDAQ|2019|09|11|15|30|55400|38.240002|36.59|38.200001|36.91|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|95|NASDAQ|2019|09|12|15|30|258700|39.650002|37.299999|39.040001|38.029999|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|94|NASDAQ|2019|09|13|15|30|55300|39.849998|39.080002|39.48|39.18|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|93|NASDAQ|2019|09|16|15|30|159500|39.959999|39.16|39.560001|39.290001|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|92|NASDAQ|2019|09|17|15|30|57300|39.59|39.110001|39.299999|39.59|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|91|NASDAQ|2019|09|18|15|30|48500|39.43|38.32|38.869999|39.389999|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
WLDN|90|NASDAQ|2019|09|19|15|30|68400|39.68|38.919998|39.130001|39.169998|technicalservices|0.3|1.5|1.5|135.220001|-|1365|usa|0.67|0.61|27.1|Jan 29 AMC|services|89.5
