empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
ACGL|9|NASDAQ|2020|01|17|15|30|1386000|45.259998|44.630001|45.169998|44.810001|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|99|NASDAQ|2019|09|10|15|30|1729400|41.400002|40.299999|40.610001|41.32|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|98|NASDAQ|2019|09|11|15|30|1421200|40.700001|40.349998|40.57|40.490002|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|97|NASDAQ|2019|09|12|15|30|1218300|40.82|40.400002|40.439999|40.700001|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|96|NASDAQ|2019|09|13|15|30|1036400|40.529999|40.110001|40.48|40.34|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|95|NASDAQ|2019|09|16|15|30|928200|40.66|40.27|40.560001|40.330002|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|94|NASDAQ|2019|09|17|15|30|2075500|41.099998|40.439999|40.959999|40.490002|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|93|NASDAQ|2019|09|18|15|30|2002900|41.009998|40.52|40.91|40.799999|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|92|NASDAQ|2019|09|19|15|30|991700|41.5|40.959999|41.139999|41.029999|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
ACGL|91|NASDAQ|2019|09|20|15|30|1581400|41.25|40.720001|41|41.150002|propertycasualtyinsurance|0.8|-|-|12.91|-|3642|bermuda|0.23|0.23|7.47|Feb 11 AMC|financial|90.300003
