empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
ACIA|9|NASDAQ|2020|01|17|15|30|524300|68.949997|68.559998|68.660004|68.949997|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|99|NASDAQ|2019|09|10|15|30|195300|64.07|63.41|63.75|63.75|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|98|NASDAQ|2019|09|11|15|30|337500|64.400002|63.720001|63.799999|63.880001|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|97|NASDAQ|2019|09|12|15|30|381000|64.489998|63.700001|64.239998|63.939999|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|96|NASDAQ|2019|09|13|15|30|154600|64.5|63.91|64.290001|64.279999|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|95|NASDAQ|2019|09|16|15|30|417500|65.309998|64.059998|65.230003|64.199997|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|94|NASDAQ|2019|09|17|15|30|172000|65.360001|64.620003|64.650002|65.209999|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|93|NASDAQ|2019|09|18|15|30|154300|64.849998|64.230003|64.510002|64.620003|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|92|NASDAQ|2019|09|19|15|30|345500|65.089996|64.089996|64.309998|64.669998|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
ACIA|91|NASDAQ|2019|09|20|15|30|785300|65.199997|64.5|64.580002|65.050003|communicationequipment|6.9|3.6|3.9|103.389999|-|386|usa|0|0|14.21|Feb 20 AMC|technology|85.099998
