empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
ALOT|9|NASDAQ|2020|01|17|15|30|17700|13.5|13.21|13.26|13.43|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|99|NASDAQ|2019|09|10|15|30|93400|16.049999|15.41|16.02|15.51|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|98|NASDAQ|2019|09|11|15|30|42300|16.58|15.02|16.41|15.99|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|97|NASDAQ|2019|09|12|15|30|45500|16.65|15.94|16.42|16.530001|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|96|NASDAQ|2019|09|13|15|30|31800|16.690001|15.91|16.559999|16.290001|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|95|NASDAQ|2019|09|16|15|30|38700|17.469999|15.96|17.26|16.440001|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|94|NASDAQ|2019|09|17|15|30|155000|17.18|15.75|15.81|17.18|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|93|NASDAQ|2019|09|18|15|30|61600|16.190001|15.55|15.9|15.55|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|92|NASDAQ|2019|09|19|15|30|117800|16.190001|15.16|15.65|15.76|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|91|NASDAQ|2019|09|20|15|30|75800|15.95|15.51|15.71|15.7|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|90|NASDAQ|2019|09|23|15|30|56000|15.77|15.2|15.49|15.7|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|8|NASDAQ|2020|01|21|15|30|31200|13.18|12.8|12.87|13.13|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|89|NASDAQ|2019|09|24|15|30|78300|15.5|14.89|15.45|15.4|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|88|NASDAQ|2019|09|25|15|30|32500|15.94|15.33|15.79|15.33|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|87|NASDAQ|2019|09|26|15|30|76500|16.65|15.72|15.91|15.76|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|86|NASDAQ|2019|09|27|15|30|22300|16.219999|15.5|15.59|15.96|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|85|NASDAQ|2019|09|30|15|30|67300|16.639999|15.47|16.17|15.66|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|84|NASDAQ|2019|10|01|15|30|34400|16.459999|15.75|16|16.209999|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|83|NASDAQ|2019|10|02|15|30|42300|16.200001|15.6|15.61|15.9|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|82|NASDAQ|2019|10|03|15|30|58800|15.7|14.97|15.1|15.62|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|81|NASDAQ|2019|10|04|15|30|34600|15.52|15.1|15.47|15.1|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|80|NASDAQ|2019|10|07|15|30|21000|15.64|15.25|15.58|15.41|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|7|NASDAQ|2020|01|22|15|30|97700|12.8|12.51|12.71|12.51|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|79|NASDAQ|2019|10|08|15|30|34200|15.74|15.17|15.4|15.46|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|78|NASDAQ|2019|10|09|15|30|29300|15.61|15.25|15.31|15.5|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|77|NASDAQ|2019|10|10|15|30|45000|15.88|15.23|15.75|15.23|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|76|NASDAQ|2019|10|11|15|30|35400|16.370001|15.7|16.200001|15.76|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|75|NASDAQ|2019|10|14|15|30|61900|16.309999|15.24|15.7|15.76|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|74|NASDAQ|2019|10|15|15|30|31100|16.09|15.4|15.92|15.61|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|73|NASDAQ|2019|10|16|15|30|22800|16.219999|15.6|15.94|15.91|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|72|NASDAQ|2019|10|17|15|30|37800|16.26|15.85|16.16|15.85|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|71|NASDAQ|2019|10|18|15|30|38500|16.360001|15.65|15.75|16.08|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|70|NASDAQ|2019|10|21|15|30|29900|16.16|15.66|16.1|15.81|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|6|NASDAQ|2020|01|23|15|30|15100|12.73|12.55|12.67|12.66|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
ALOT|69|NASDAQ|2019|10|22|15|30|29300|16.309999|15.89|16.209999|16.110001|computerperipherals|0.3|1.1|2.3|16.41|2.25|374|usa|0.28|0.12|32.080002|Dec 04 BMO|technology|62.099998
