empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
BFRA|9|NASDAQ|2020|01|17|15|30|200|11.346|10.752|11.346|10.752|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|99|NASDAQ|2019|09|10|15|30|100|14.313|14.313|14.313|14.313|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|98|NASDAQ|2019|09|11|15|30|0|14.313|14.313|14.313|14.313|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|97|NASDAQ|2019|09|12|15|30|100|14.313|14.313|14.313|14.313|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|96|NASDAQ|2019|09|13|15|30|700|13.92|13.92|13.92|13.92|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|95|NASDAQ|2019|09|16|15|30|10400|15.28|14.1|14.5|14.1|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|94|NASDAQ|2019|09|17|15|30|200|14|14|14|14|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|93|NASDAQ|2019|09|18|15|30|0|14|14|14|14|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|92|NASDAQ|2019|09|19|15|30|100|14|14|14|14|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|91|NASDAQ|2019|09|20|15|30|0|14|14|14|14|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|90|NASDAQ|2019|09|23|15|30|0|14|14|14|14|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|8|NASDAQ|2020|01|21|15|30|0|11.346|11.346|11.346|11.346|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|89|NASDAQ|2019|09|24|15|30|100|14|14|14|14|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|88|NASDAQ|2019|09|25|15|30|200|13|12.71|12.71|13|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|87|NASDAQ|2019|09|26|15|30|100|12.71|12.71|12.71|12.71|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|86|NASDAQ|2019|09|27|15|30|100|12.71|12.71|12.71|12.71|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|85|NASDAQ|2019|09|30|15|30|0|12.71|12.71|12.71|12.71|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|84|NASDAQ|2019|10|01|15|30|100|12.71|12.71|12.71|12.71|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|83|NASDAQ|2019|10|02|15|30|100|12.6|12.6|12.6|12.6|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|82|NASDAQ|2019|10|03|15|30|0|12.6|12.6|12.6|12.6|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|81|NASDAQ|2019|10|04|15|30|100|12.6|12.6|12.6|12.6|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|80|NASDAQ|2019|10|07|15|30|100|12.84|12.84|12.84|12.84|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|7|NASDAQ|2020|01|22|15|30|0|11.346|11.346|11.346|11.346|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|79|NASDAQ|2019|10|08|15|30|0|12.84|12.84|12.84|12.84|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|78|NASDAQ|2019|10|09|15|30|1500|12.2|12.15|12.15|12.19|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
BFRA|77|NASDAQ|2019|10|10|15|30|10100|11.86|11.86|11.86|11.86|biotechnology|-|-|-|-|-|191|germany|-|-|-446.200012|Feb 18 BMO|healthcare|0.07
