empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
BOXL|9|NASDAQ|2020|01|17|15|30|1016000|1.68|1.36|1.53|1.4|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|99|NASDAQ|2019|09|10|15|30|18200|2.25|2.11|2.16|2.13|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|98|NASDAQ|2019|09|11|15|30|12500|2.25|2.195|2.25|2.24|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|97|NASDAQ|2019|09|12|15|30|6700|2.24|2.2|2.23|2.24|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|96|NASDAQ|2019|09|13|15|30|28300|2.27|2.1|2.189|2.27|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|95|NASDAQ|2019|09|16|15|30|25100|2.18|2.1|2.17|2.14|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|94|NASDAQ|2019|09|17|15|30|34700|2.14|2.05|2.085|2.104|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|93|NASDAQ|2019|09|18|15|30|41900|2.12|2|2.03|2.1|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|92|NASDAQ|2019|09|19|15|30|17100|2.08|2.02|2.02|2.06|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|91|NASDAQ|2019|09|20|15|30|71300|2.109|1.83|1.95|2.01|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|90|NASDAQ|2019|09|23|15|30|15600|2|1.9|1.9|1.95|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|8|NASDAQ|2020|01|21|15|30|409000|1.75|1.51|1.58|1.75|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|89|NASDAQ|2019|09|24|15|30|17600|1.98|1.85|1.86|1.913|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|88|NASDAQ|2019|09|25|15|30|49800|2|1.84|1.89|1.9|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|87|NASDAQ|2019|09|26|15|30|21800|1.92|1.85|1.92|1.88|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|86|NASDAQ|2019|09|27|15|30|15500|1.9|1.81|1.83|1.859|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|85|NASDAQ|2019|09|30|15|30|20000|1.89|1.658|1.84|1.85|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|84|NASDAQ|2019|10|01|15|30|11600|1.87|1.81|1.84|1.84|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|83|NASDAQ|2019|10|02|15|30|11200|1.86|1.67|1.8|1.674|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|82|NASDAQ|2019|10|03|15|30|39900|1.97|1.751|1.84|1.81|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|81|NASDAQ|2019|10|04|15|30|15300|1.924|1.814|1.89|1.82|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|80|NASDAQ|2019|10|07|15|30|4000|1.93|1.85|1.85|1.874|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|7|NASDAQ|2020|01|22|15|30|279100|1.64|1.5|1.57|1.6|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|79|NASDAQ|2019|10|08|15|30|7000|1.91|1.81|1.81|1.85|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|78|NASDAQ|2019|10|09|15|30|4600|1.89|1.843|1.86|1.88|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|77|NASDAQ|2019|10|10|15|30|14200|1.89|1.75|1.79|1.88|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|76|NASDAQ|2019|10|11|15|30|4000|1.9|1.798|1.878|1.798|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|75|NASDAQ|2019|10|14|15|30|16900|1.9|1.85|1.9|1.88|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|74|NASDAQ|2019|10|15|15|30|44600|2.01|1.88|1.96|1.9|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|73|NASDAQ|2019|10|16|15|30|7400|2|1.96|1.97|2|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|72|NASDAQ|2019|10|17|15|30|46000|2.079|1.81|1.88|2|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|71|NASDAQ|2019|10|18|15|30|10100|1.93|1.831|1.86|1.89|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|70|NASDAQ|2019|10|21|15|30|17800|1.97|1.85|1.96|1.86|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|6|NASDAQ|2020|01|23|15|30|253200|1.58|1.38|1.44|1.58|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
BOXL|69|NASDAQ|2019|10|22|15|30|1753500|3.06|1.91|2.09|1.96|communicationequipment|27.629999|0.6|0.7|-|-|43|usa|2.32|0.42|18.299999|Feb 11 AMC|technology|5.2
