empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
BRY|9|NASDAQ|2020|01|17|15|30|825000|8.48|8|8.07|8.44|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|99|NASDAQ|2019|09|10|15|30|1053000|9.88|9.14|9.55|9.14|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|98|NASDAQ|2019|09|11|15|30|570000|10.04|9.57|9.81|9.67|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|97|NASDAQ|2019|09|12|15|30|465900|9.93|9.51|9.72|9.59|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|96|NASDAQ|2019|09|13|15|30|348500|9.99|9.64|9.83|9.81|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|95|NASDAQ|2019|09|16|15|30|1745800|10.86|10.18|10.77|10.42|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|94|NASDAQ|2019|09|17|15|30|674400|10.75|10.32|10.44|10.74|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|93|NASDAQ|2019|09|18|15|30|967600|10.59|9.61|10.43|10.33|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|92|NASDAQ|2019|09|19|15|30|1008600|10.68|9.68|10.09|10.55|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|91|NASDAQ|2019|09|20|15|30|1502400|10.42|10.07|10.25|10.15|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|90|NASDAQ|2019|09|23|15|30|581600|10.66|10.13|10.57|10.19|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|8|NASDAQ|2020|01|21|15|30|979900|8.11|7.56|7.63|8.06|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|89|NASDAQ|2019|09|24|15|30|567700|10.56|9.78|9.83|10.56|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|88|NASDAQ|2019|09|25|15|30|502900|9.9|9.6|9.71|9.69|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|87|NASDAQ|2019|09|26|15|30|383900|9.65|9.22|9.57|9.61|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|86|NASDAQ|2019|09|27|15|30|784200|9.74|9.45|9.6|9.45|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|85|NASDAQ|2019|09|30|15|30|357300|9.56|9.33|9.36|9.56|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|84|NASDAQ|2019|10|01|15|30|420900|9.61|9.19|9.26|9.4|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|83|NASDAQ|2019|10|02|15|30|411400|9.5|9.03|9.35|9.17|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|82|NASDAQ|2019|10|03|15|30|316300|9.38|9.06|9.32|9.21|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|81|NASDAQ|2019|10|04|15|30|268100|9.4|9.16|9.32|9.36|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|80|NASDAQ|2019|10|07|15|30|583200|9.43|9.17|9.28|9.33|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|7|NASDAQ|2020|01|22|15|30|758700|7.75|7.57|7.68|7.65|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|79|NASDAQ|2019|10|08|15|30|619900|9.54|9.15|9.34|9.15|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
BRY|78|NASDAQ|2019|10|09|15|30|269900|9.57|9.24|9.4|9.46|independentoilgas|0.7|0.8|0.9|3.05|7.01|322|usa|0|0.4|4.84|Feb 06 BMO|basicmaterials|7.64
