empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CASS|9|NASDAQ|2020|01|17|15|30|50500|57.869999|56.709999|57.810001|57.299999|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|99|NASDAQ|2019|09|10|15|30|38500|56.599998|53.779999|56.490002|54.59|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|98|NASDAQ|2019|09|11|15|30|55100|57.900002|55.560001|57.240002|56.73|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|97|NASDAQ|2019|09|12|15|30|31400|58.400002|56.830002|58.049999|57.330002|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|96|NASDAQ|2019|09|13|15|30|39900|58.900002|57.220001|57.849998|58.529999|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|95|NASDAQ|2019|09|16|15|30|31300|57.709999|56.490002|56.830002|57.259998|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|94|NASDAQ|2019|09|17|15|30|31900|57.02|56.220001|56.900002|56.73|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|93|NASDAQ|2019|09|18|15|30|37100|56.98|55.970001|56.75|56.98|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|92|NASDAQ|2019|09|19|15|30|33000|57.560001|54.560001|56|56.810001|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|91|NASDAQ|2019|09|20|15|30|108600|56.970001|55.779999|56.400002|55.82|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
CASS|90|NASDAQ|2019|09|23|15|30|28200|56.189999|55.080002|55.790001|55.68|businessservices|1.7|-|-|25.66|2|870|usa|1.62|0|-|Jan 30 BMO|services|58.299999
