empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CCBG|9|NASDAQ|2020|01|17|15|30|34500|29.4|29.02|29.040001|29.24|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|99|NASDAQ|2019|09|10|15|30|26100|25.75|25.049999|25.58|25.07|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|98|NASDAQ|2019|09|11|15|30|33200|26.690001|25.540001|26.42|25.67|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|97|NASDAQ|2019|09|12|15|30|64900|27.15|25.91|26.85|26.4|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|96|NASDAQ|2019|09|13|15|30|37300|27.129999|26.469999|26.83|26.99|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|95|NASDAQ|2019|09|16|15|30|24300|27.24|26.620001|26.9|26.780001|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|94|NASDAQ|2019|09|17|15|30|33400|26.92|26.34|26.49|26.82|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|93|NASDAQ|2019|09|18|15|30|63700|26.799999|25.77|26.639999|26.6|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|92|NASDAQ|2019|09|19|15|30|23900|27.190001|26.469999|26.49|26.719999|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
CCBG|91|NASDAQ|2019|09|20|15|30|104700|28|26.290001|27.52|26.48|regionalmidatlanticbanks|0.1|-|-|17.73|1.82|801|usa|0.16|0.16|1.51|Jan 28 BMO|financial|40.200001
