empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CFA|9|NASDAQ|2020|01|17|15|30|35200|57.889999|57.782001|57.873001|57.880001|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|99|NASDAQ|2019|09|10|15|30|35900|52.849998|52.429001|52.724998|52.73|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|98|NASDAQ|2019|09|11|15|30|22200|53.259998|52.779999|53.259998|52.869999|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|97|NASDAQ|2019|09|12|15|30|56800|53.529999|53.179001|53.360001|53.310001|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|96|NASDAQ|2019|09|13|15|30|44300|53.618999|53.32|53.384998|53.540001|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|95|NASDAQ|2019|09|16|15|30|16800|53.349998|53.099998|53.310001|53.259998|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|94|NASDAQ|2019|09|17|15|30|25400|53.450001|53.169998|53.419998|53.200001|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|93|NASDAQ|2019|09|18|15|30|79000|53.43|53.012001|53.43|53.369999|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|92|NASDAQ|2019|09|19|15|30|28100|53.634998|53.34|53.360001|53.540001|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|91|NASDAQ|2019|09|20|15|30|13700|53.481998|53.069|53.117001|53.43|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|90|NASDAQ|2019|09|23|15|30|13000|53.240002|52.900002|53.16|52.900002|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|8|NASDAQ|2020|01|21|15|30|46500|57.91|57.59|57.650002|57.59|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|89|NASDAQ|2019|09|24|15|30|33700|53.361|52.616001|52.709999|53.32|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
CFA|88|NASDAQ|2019|09|25|15|30|26600|53.104|52.630001|53.07|52.860001|exchangetradedfund|-|-|-|-|1.4|-|usa|-|-|-|-|financial|-
