empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CHSCO|9|NASDAQ|2020|01|17|15|30|25400|27.799999|27.74|27.799999|27.74|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|99|NASDAQ|2019|09|10|15|30|29100|27.52|27.35|27.41|27.48|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|98|NASDAQ|2019|09|11|15|30|28000|27.51|27.35|27.41|27.440001|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|97|NASDAQ|2019|09|12|15|30|16000|27.629999|27.43|27.629999|27.48|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|96|NASDAQ|2019|09|13|15|30|75400|27.24|26.84|26.959999|27.139999|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|95|NASDAQ|2019|09|16|15|30|32800|27.24|27.01|27.120001|27.02|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|94|NASDAQ|2019|09|17|15|30|6600|27.190001|27.1|27.17|27.18|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|93|NASDAQ|2019|09|18|15|30|48300|27.24|27.110001|27.110001|27.190001|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|92|NASDAQ|2019|09|19|15|30|13100|27.219999|27.120001|27.120001|27.200001|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|91|NASDAQ|2019|09|20|15|30|13600|27.25|27.139999|27.16|27.25|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|90|NASDAQ|2019|09|23|15|30|31900|27.32|27.17|27.26|27.17|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|8|NASDAQ|2020|01|21|15|30|18600|27.799999|27.780001|27.799999|27.799999|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|89|NASDAQ|2019|09|24|15|30|13600|27.309999|27.190001|27.23|27.290001|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|88|NASDAQ|2019|09|25|15|30|12500|27.35|27.18|27.299999|27.26|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|87|NASDAQ|2019|09|26|15|30|19400|27.41|27.25|27.41|27.34|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|86|NASDAQ|2019|09|27|15|30|18700|27.4|27.27|27.27|27.4|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|85|NASDAQ|2019|09|30|15|30|106100|27.389999|27.17|27.25|27.389999|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|84|NASDAQ|2019|10|01|15|30|22200|27.35|27.17|27.26|27.35|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|83|NASDAQ|2019|10|02|15|30|33700|27.32|27.17|27.299999|27.190001|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|82|NASDAQ|2019|10|03|15|30|11900|27.389999|27.25|27.34|27.299999|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|81|NASDAQ|2019|10|04|15|30|26100|27.43|27.35|27.389999|27.360001|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|80|NASDAQ|2019|10|07|15|30|10400|27.34|27.26|27.309999|27.290001|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|7|NASDAQ|2020|01|22|15|30|42700|27.84|27.780001|27.82|27.799999|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
CHSCO|79|NASDAQ|2019|10|08|15|30|14600|27.4|27.27|27.32|27.309999|farmproducts|-|-|-|-|7.07|10703|usa|-|-|-|-|consumergoods|18.02
