empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CRSA|9|NASDAQ|2020|01|17|15|30|13500|10.07|10.05|10.07|10.05|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|99|NASDAQ|2019|09|10|15|30|0|9.85|9.85|9.85|9.85|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|98|NASDAQ|2019|09|11|15|30|100|9.83|9.83|9.83|9.83|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|97|NASDAQ|2019|09|12|15|30|215500|9.91|9.84|9.85|9.85|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|96|NASDAQ|2019|09|13|15|30|5000|9.84|9.82|9.84|9.82|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|95|NASDAQ|2019|09|16|15|30|0|9.84|9.84|9.84|9.84|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|94|NASDAQ|2019|09|17|15|30|101200|9.85|9.81|9.83|9.85|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|93|NASDAQ|2019|09|18|15|30|0|9.83|9.83|9.83|9.83|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|92|NASDAQ|2019|09|19|15|30|0|9.83|9.83|9.83|9.83|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|91|NASDAQ|2019|09|20|15|30|1000|9.83|9.83|9.83|9.83|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|90|NASDAQ|2019|09|23|15|30|2600|9.85|9.83|9.85|9.83|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|8|NASDAQ|2020|01|21|15|30|1800|10.08|10.07|10.07|10.08|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|89|NASDAQ|2019|09|24|15|30|0|9.85|9.85|9.85|9.85|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|88|NASDAQ|2019|09|25|15|30|200|9.85|9.85|9.85|9.85|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|87|NASDAQ|2019|09|26|15|30|0|9.85|9.85|9.85|9.85|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|86|NASDAQ|2019|09|27|15|30|200|9.9|9.9|9.9|9.9|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|85|NASDAQ|2019|09|30|15|30|0|9.9|9.9|9.9|9.9|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
CRSA|84|NASDAQ|2019|10|01|15|30|0|9.9|9.9|9.9|9.9|conglomerates|-|-|-|111.209999|-|-|usa|-|-|-|-|conglomerates|58.330002
