empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
DGLY|9|NASDAQ|2020|01|17|15|30|245800|1|0.88|0.95|0.99|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|99|NASDAQ|2019|09|10|15|30|199600|1.62|1.45|1.56|1.52|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|98|NASDAQ|2019|09|11|15|30|185700|1.71|1.57|1.6|1.59|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|97|NASDAQ|2019|09|12|15|30|120200|1.65|1.42|1.47|1.65|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|96|NASDAQ|2019|09|13|15|30|70000|1.5|1.43|1.43|1.47|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|95|NASDAQ|2019|09|16|15|30|88500|1.59|1.42|1.52|1.42|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|94|NASDAQ|2019|09|17|15|30|85100|1.5|1.44|1.44|1.5|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|93|NASDAQ|2019|09|18|15|30|57000|1.5|1.32|1.37|1.43|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|92|NASDAQ|2019|09|19|15|30|389000|1.68|1.35|1.44|1.38|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|91|NASDAQ|2019|09|20|15|30|80700|1.46|1.37|1.44|1.44|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|90|NASDAQ|2019|09|23|15|30|36700|1.42|1.35|1.36|1.42|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|8|NASDAQ|2020|01|21|15|30|72700|0.95|0.92|0.94|0.95|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|89|NASDAQ|2019|09|24|15|30|109300|1.38|1.27|1.3|1.37|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|88|NASDAQ|2019|09|25|15|30|31600|1.41|1.22|1.27|1.41|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|87|NASDAQ|2019|09|26|15|30|41400|1.31|1.23|1.23|1.31|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|86|NASDAQ|2019|09|27|15|30|88900|1.32|1.2|1.21|1.23|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|85|NASDAQ|2019|09|30|15|30|26200|1.35|1.2|1.28|1.22|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|84|NASDAQ|2019|10|01|15|30|47500|1.3|1.19|1.24|1.3|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
DGLY|83|NASDAQ|2019|10|02|15|30|14800|1.23|1.18|1.2|1.22|scientifictechnicalinstruments|18.5|0.6|1.6|-|-|95|usa|-|-|-|Feb 13 BMO|technology|5.9
