empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
ECHO|9|NASDAQ|2020|01|17|15|30|255200|23.32|22.83|23.280001|23.200001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|99|NASDAQ|2019|09|10|15|30|259300|21.950001|21.08|21.93|21.190001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|98|NASDAQ|2019|09|11|15|30|312300|22.809999|21.77|22.790001|22.040001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|97|NASDAQ|2019|09|12|15|30|406000|23.08|22.17|22.74|22.91|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|96|NASDAQ|2019|09|13|15|30|400200|23.610001|22.780001|23.59|23|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|95|NASDAQ|2019|09|16|15|30|424000|23.51|22.9|23.23|23.379999|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|94|NASDAQ|2019|09|17|15|30|164300|23.360001|22.959999|23.35|23.120001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|93|NASDAQ|2019|09|18|15|30|220400|23.23|22.879999|23.139999|23.190001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|92|NASDAQ|2019|09|19|15|30|177900|23.290001|22.85|22.92|23.129999|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|91|NASDAQ|2019|09|20|15|30|537200|23.23|22.68|23.129999|22.9|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|90|NASDAQ|2019|09|23|15|30|129700|23.52|22.84|23.42|22.940001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|8|NASDAQ|2020|01|21|15|30|250900|23.299999|22.57|22.6|23.190001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|89|NASDAQ|2019|09|24|15|30|179100|23.709999|23.01|23.190001|23.370001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|88|NASDAQ|2019|09|25|15|30|409300|23.74|23.059999|23.360001|23.120001|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|87|NASDAQ|2019|09|26|15|30|156100|23.49|22.57|22.690001|23.35|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|86|NASDAQ|2019|09|27|15|30|107600|23.07|22.35|22.639999|22.799999|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|85|NASDAQ|2019|09|30|15|30|248400|22.870001|22.4|22.65|22.709999|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
ECHO|84|NASDAQ|2019|10|01|15|30|118000|23.08|21.9|22.01|22.82|trucking|0.5|1.4|1.4|25.870001|-|2595|usa|0.4|0.4|-1.38|Feb 05 AMC|services|96.400002
