empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
FFIC|9|NASDAQ|2020|01|17|15|30|101300|21.27|20.91|20.959999|21.27|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|99|NASDAQ|2019|09|10|15|30|39700|20.440001|19.98|20.360001|20.02|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|98|NASDAQ|2019|09|11|15|30|81800|20.959999|20.209999|20.75|20.41|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|97|NASDAQ|2019|09|12|15|30|62400|20.74|20.27|20.549999|20.459999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|96|NASDAQ|2019|09|13|15|30|113300|20.98|20.59|20.68|20.83|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|95|NASDAQ|2019|09|16|15|30|79000|20.73|20.41|20.559999|20.48|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|94|NASDAQ|2019|09|17|15|30|84700|20.530001|20.120001|20.370001|20.530001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|93|NASDAQ|2019|09|18|15|30|109600|20.51|20.17|20.4|20.379999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|92|NASDAQ|2019|09|19|15|30|69900|20.65|20.16|20.23|20.4|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|91|NASDAQ|2019|09|20|15|30|166500|20.49|20.129999|20.41|20.129999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|90|NASDAQ|2019|09|23|15|30|60200|20.57|20.15|20.41|20.280001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|8|NASDAQ|2020|01|21|15|30|83600|20.98|20.74|20.809999|20.870001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|89|NASDAQ|2019|09|24|15|30|45200|20.5|20.02|20.09|20.5|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|88|NASDAQ|2019|09|25|15|30|64900|20.719999|20.129999|20.530001|20.129999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|87|NASDAQ|2019|09|26|15|30|45000|20.58|20.32|20.360001|20.469999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|86|NASDAQ|2019|09|27|15|30|61900|20.700001|20.41|20.440001|20.559999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|85|NASDAQ|2019|09|30|15|30|57200|20.459999|20.200001|20.200001|20.43|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|84|NASDAQ|2019|10|01|15|30|120100|21.32|20.209999|20.309999|21.110001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|83|NASDAQ|2019|10|02|15|30|87700|20.5|20.139999|20.49|20.16|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|82|NASDAQ|2019|10|03|15|30|70400|20.58|20.280001|20.459999|20.389999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|81|NASDAQ|2019|10|04|15|30|53600|20.620001|20.389999|20.6|20.43|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|80|NASDAQ|2019|10|07|15|30|59800|20.77|20.5|20.639999|20.549999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|7|NASDAQ|2020|01|22|15|30|75900|21.040001|20.6|20.6|20.76|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|79|NASDAQ|2019|10|08|15|30|67800|20.6|20.379999|20.42|20.51|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|78|NASDAQ|2019|10|09|15|30|51900|20.700001|20.4|20.52|20.700001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|77|NASDAQ|2019|10|10|15|30|51800|20.860001|20.6|20.610001|20.610001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|76|NASDAQ|2019|10|11|15|30|50600|21.18|20.780001|20.9|20.82|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|75|NASDAQ|2019|10|14|15|30|62700|20.950001|20.719999|20.82|20.75|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|74|NASDAQ|2019|10|15|15|30|67700|21.23|20.790001|21.110001|20.790001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|73|NASDAQ|2019|10|16|15|30|54600|21.299999|21.01|21.120001|21.030001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|72|NASDAQ|2019|10|17|15|30|72100|21.639999|21.219999|21.549999|21.219999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|71|NASDAQ|2019|10|18|15|30|51700|21.84|21.4|21.629999|21.4|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|70|NASDAQ|2019|10|21|15|30|65100|22.040001|21.639999|21.780001|21.639999|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|6|NASDAQ|2020|01|23|15|30|117800|20.639999|20.280001|20.610001|20.530001|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
FFIC|69|NASDAQ|2019|10|22|15|30|66800|22.120001|21.65|21.950001|21.83|savingsloans|0.8|-|-|13.95|4.23|456|usa|0.21|0.21|5.81|Jan 30 AMC|financial|78.099998
