empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
FRBA|9|NASDAQ|2020|01|17|15|30|19300|10.77|10.6|10.6|10.76|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|99|NASDAQ|2019|09|10|15|30|11500|11.05|10.59|10.99|10.78|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|98|NASDAQ|2019|09|11|15|30|25300|11.16|10.88|11.01|11.06|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|97|NASDAQ|2019|09|12|15|30|25900|11.42|10.77|11.38|10.82|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|96|NASDAQ|2019|09|13|15|30|28900|11.55|11.37|11.46|11.44|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|95|NASDAQ|2019|09|16|15|30|18200|11.4|11.18|11.31|11.36|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|94|NASDAQ|2019|09|17|15|30|21300|11.36|11.1|11.28|11.25|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|93|NASDAQ|2019|09|18|15|30|30700|11.39|11.1|11.28|11.3|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|92|NASDAQ|2019|09|19|15|30|16200|11.38|11.1|11.12|11.25|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
FRBA|91|NASDAQ|2019|09|20|15|30|58600|11.14|10.82|11.13|11.07|regionalmidatlanticbanks|0.7|-|-|14.4|1.12|142|usa|0.11|0.11|10.53|Jan 29 AMC|financial|52.099998
