empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
FRGI|9|NASDAQ|2020|01|17|15|30|154800|10.91|10.66|10.77|10.86|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|99|NASDAQ|2019|09|10|15|30|485500|9.9|8.77|9.76|8.77|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|98|NASDAQ|2019|09|11|15|30|416700|10.46|9.57|10.41|9.66|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|97|NASDAQ|2019|09|12|15|30|293700|10.69|10.31|10.32|10.43|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|96|NASDAQ|2019|09|13|15|30|256800|10.56|10.19|10.45|10.3|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|95|NASDAQ|2019|09|16|15|30|279300|10.86|10.3|10.68|10.45|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|94|NASDAQ|2019|09|17|15|30|181300|10.67|10.34|10.55|10.67|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|93|NASDAQ|2019|09|18|15|30|359400|10.58|10.18|10.47|10.52|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|92|NASDAQ|2019|09|19|15|30|298700|10.6|10.35|10.41|10.45|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
FRGI|91|NASDAQ|2019|09|20|15|30|776000|10.56|10.36|10.53|10.4|restaurants|0.1|0.5|0.5|-|-|10220|usa|0.39|0.39|10.85|Feb 24 AMC|services|89.900002
