empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
GASS|9|NASDAQ|2020|01|17|15|30|13500|3.42|3.32|3.33|3.37|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|99|NASDAQ|2019|09|10|15|30|38900|3.11|3.04|3.05|3.04|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|98|NASDAQ|2019|09|11|15|30|6000|3.1|3.04|3.1|3.04|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|97|NASDAQ|2019|09|12|15|30|11600|3.15|3.08|3.14|3.08|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|96|NASDAQ|2019|09|13|15|30|41500|3.28|3.13|3.2|3.13|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|95|NASDAQ|2019|09|16|15|30|8300|3.29|3.17|3.17|3.23|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|94|NASDAQ|2019|09|17|15|30|15300|3.17|3.12|3.14|3.17|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|93|NASDAQ|2019|09|18|15|30|12800|3.17|3.1|3.1|3.14|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|92|NASDAQ|2019|09|19|15|30|7100|3.1|3.06|3.08|3.1|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|91|NASDAQ|2019|09|20|15|30|27500|3.19|3.07|3.07|3.19|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|90|NASDAQ|2019|09|23|15|30|6600|3.08|3.03|3.08|3.07|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
GASS|8|NASDAQ|2020|01|21|15|30|28700|3.33|3.25|3.25|3.33|shipping|16.58|1.1|1.2|-|-|767|greece|0.67|0.6|177.110001|Feb 20 BMO|services|51.900002
