empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
HAFC|9|NASDAQ|2020|01|17|15|30|83500|19.66|19.360001|19.52|19.59|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|99|NASDAQ|2019|09|10|15|30|221400|18.780001|18.200001|18.59|18.200001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|98|NASDAQ|2019|09|11|15|30|135500|19.129999|18.24|18.950001|18.73|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|97|NASDAQ|2019|09|12|15|30|152900|19.16|18.58|19.02|18.709999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|96|NASDAQ|2019|09|13|15|30|132000|19.43|19.110001|19.200001|19.27|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|95|NASDAQ|2019|09|16|15|30|167800|19.41|18.9|19.219999|18.99|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|94|NASDAQ|2019|09|17|15|30|100500|19.219999|18.85|19.16|19.1|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|93|NASDAQ|2019|09|18|15|30|124900|19.34|18.9|19.110001|19.040001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|92|NASDAQ|2019|09|19|15|30|118600|19.459999|18.91|18.93|19.040001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|91|NASDAQ|2019|09|20|15|30|386700|19.219999|18.77|19.1|18.959999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|90|NASDAQ|2019|09|23|15|30|125600|19.26|18.66|18.82|18.959999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|8|NASDAQ|2020|01|21|15|30|192000|19.450001|18.98|19|19.290001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|89|NASDAQ|2019|09|24|15|30|179300|19.040001|18.68|18.889999|18.73|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|88|NASDAQ|2019|09|25|15|30|180200|19.209999|18.780001|19.129999|18.870001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|87|NASDAQ|2019|09|26|15|30|149100|19.09|18.860001|18.91|19.049999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|86|NASDAQ|2019|09|27|15|30|141100|19.280001|18.73|18.809999|19.030001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|85|NASDAQ|2019|09|30|15|30|91800|19.1|18.57|18.780001|18.9|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|84|NASDAQ|2019|10|01|15|30|198000|19.15|18.18|18.309999|18.84|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|83|NASDAQ|2019|10|02|15|30|120800|18.33|17.940001|18.26|18.33|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|82|NASDAQ|2019|10|03|15|30|96000|18.27|17.74|18.030001|18.27|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|81|NASDAQ|2019|10|04|15|30|69700|18.24|17.879999|18.219999|18.059999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|80|NASDAQ|2019|10|07|15|30|130500|18.48|17.879999|18.049999|18.09|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|7|NASDAQ|2020|01|22|15|30|110100|19.09|18.82|18.879999|19.09|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|79|NASDAQ|2019|10|08|15|30|189000|17.780001|17.5|17.610001|17.74|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|78|NASDAQ|2019|10|09|15|30|174700|17.9|17.540001|17.77|17.59|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|77|NASDAQ|2019|10|10|15|30|238000|18.1|17.700001|17.91|17.91|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|76|NASDAQ|2019|10|11|15|30|207600|18.43|18|18.030001|18.16|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|75|NASDAQ|2019|10|14|15|30|214600|18.139999|17.73|17.93|18.01|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|74|NASDAQ|2019|10|15|15|30|699700|18.290001|17.879999|18.18|18.049999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|73|NASDAQ|2019|10|16|15|30|286400|18.43|18.059999|18.209999|18.110001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|72|NASDAQ|2019|10|17|15|30|170600|18.41|18.24|18.370001|18.309999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|71|NASDAQ|2019|10|18|15|30|178900|18.440001|18.190001|18.389999|18.280001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|70|NASDAQ|2019|10|21|15|30|244400|18.93|18.530001|18.709999|18.530001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|6|NASDAQ|2020|01|23|15|30|209400|19.24|18.690001|19.23|18.870001|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|69|NASDAQ|2019|10|22|15|30|167700|19.15|18.41|19|18.65|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|68|NASDAQ|2019|10|23|15|30|238400|18.549999|17.59|18.34|17.809999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|67|NASDAQ|2019|10|24|15|30|161600|18.35|17.969999|18.02|18.35|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|66|NASDAQ|2019|10|25|15|30|194900|18.27|18|18.18|18|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
HAFC|65|NASDAQ|2019|10|28|14|30|147000|18.870001|18.290001|18.75|18.299999|regionalpacificbanks|1.67|-|-|12.75|5.71|635|usa|0.21|0.21|22.18|Jan 28 AMC|financial|90.699997
