empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
HALL|9|NASDAQ|2020|01|17|15|30|63400|18.84|18.25|18.76|18.5|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|99|NASDAQ|2019|09|10|15|30|149600|18.280001|17.370001|17.49|18.16|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|98|NASDAQ|2019|09|11|15|30|91200|18.219999|17.52|18.15|17.610001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|97|NASDAQ|2019|09|12|15|30|170700|18.35|17.879999|18.1|18.09|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|96|NASDAQ|2019|09|13|15|30|102100|18.709999|17.870001|18.48|18.1|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|95|NASDAQ|2019|09|16|15|30|94600|18.43|18.07|18.32|18.23|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|94|NASDAQ|2019|09|17|15|30|199600|18.969999|18.139999|18.85|18.139999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|93|NASDAQ|2019|09|18|15|30|140100|18.940001|18.34|18.530001|18.799999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|92|NASDAQ|2019|09|19|15|30|88400|18.83|18.52|18.530001|18.58|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|91|NASDAQ|2019|09|20|15|30|257600|18.950001|18.549999|18.77|18.549999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|90|NASDAQ|2019|09|23|15|30|242100|20.030001|18.92|19.82|18.950001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|8|NASDAQ|2020|01|21|15|30|33800|18.940001|18.68|18.799999|18.799999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|89|NASDAQ|2019|09|24|15|30|403900|20.299999|18.73|18.959999|19.870001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|88|NASDAQ|2019|09|25|15|30|174200|19.91|19.01|19.66|19.24|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|87|NASDAQ|2019|09|26|15|30|127700|19.92|19.48|19.530001|19.68|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|86|NASDAQ|2019|09|27|15|30|101400|19.799999|19.09|19.26|19.68|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|85|NASDAQ|2019|09|30|15|30|153400|19.389999|19.1|19.129999|19.24|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|84|NASDAQ|2019|10|01|15|30|169500|19.309999|18.610001|18.67|18.969999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|83|NASDAQ|2019|10|02|15|30|245800|18.59|17.57|18.24|18.459999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|82|NASDAQ|2019|10|03|15|30|84300|18.360001|17.610001|18.24|18.200001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|81|NASDAQ|2019|10|04|15|30|73200|18.58|18.17|18.51|18.24|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|80|NASDAQ|2019|10|07|15|30|71600|18.790001|18.26|18.629999|18.5|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|7|NASDAQ|2020|01|22|15|30|18900|18.9|18.57|18.700001|18.870001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|79|NASDAQ|2019|10|08|15|30|57500|18.75|18.129999|18.280001|18.620001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|78|NASDAQ|2019|10|09|15|30|90900|18.719999|18.18|18.51|18.18|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|77|NASDAQ|2019|10|10|15|30|103600|18.940001|18.469999|18.709999|18.629999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|76|NASDAQ|2019|10|11|15|30|116700|19.15|18.719999|18.83|18.84|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|75|NASDAQ|2019|10|14|15|30|105700|19.200001|18.85|19.059999|19.02|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|74|NASDAQ|2019|10|15|15|30|138400|19.219999|19.02|19.139999|19.059999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|73|NASDAQ|2019|10|16|15|30|69500|19.1|18.73|18.870001|19.1|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|72|NASDAQ|2019|10|17|15|30|54600|19.01|18.74|18.82|18.950001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|71|NASDAQ|2019|10|18|15|30|60900|18.85|18.459999|18.68|18.75|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|70|NASDAQ|2019|10|21|15|30|106700|19.309999|18.639999|19.27|18.719999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|6|NASDAQ|2020|01|23|15|30|42500|18.639999|18.17|18.42|18.610001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|69|NASDAQ|2019|10|22|15|30|194400|19.969999|19.27|19.879999|19.309999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|68|NASDAQ|2019|10|23|15|30|204400|20.129999|18.52|18.82|19.879999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|67|NASDAQ|2019|10|24|15|30|103200|18.85|18.360001|18.639999|18.709999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|66|NASDAQ|2019|10|25|15|30|138000|18.620001|17.35|17.42|18.620001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|65|NASDAQ|2019|10|28|14|30|199300|17.42|16.57|16.6|17.42|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|64|NASDAQ|2019|10|29|14|30|183600|16.959999|16.27|16.940001|16.57|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|63|NASDAQ|2019|10|30|14|30|101900|17.700001|16.99|17.639999|17.030001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|62|NASDAQ|2019|10|31|14|30|175500|18.110001|17.58|17.82|17.700001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|61|NASDAQ|2019|11|01|14|30|112600|18.450001|17.879999|18.18|17.950001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|60|NASDAQ|2019|11|04|15|30|324900|18.49|15.79|16.129999|18.370001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|5|NASDAQ|2020|01|24|15|30|56900|18.52|17.9|18.07|18.450001|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|59|NASDAQ|2019|11|05|15|30|150500|16.91|16.01|16.700001|16.129999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|58|NASDAQ|2019|11|06|15|30|99000|17.110001|16.68|17.09|16.68|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|57|NASDAQ|2019|11|07|15|30|99300|17.43|16.629999|16.799999|17.16|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|56|NASDAQ|2019|11|08|15|30|170200|18.559999|16.93|17.91|16.93|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
HALL|55|NASDAQ|2019|11|11|15|30|79700|18.059999|17.58|18.02|17.799999|propertycasualtyinsurance|0.5|-|-|11.11|-|439|usa|0.35|0.35|9.59|Feb 06 AMC|financial|85.800003
