empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
MTP|9|NASDAQ|2019|12|26|15|30|560000|0.738|0.651|0.66|0.734|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|99|NASDAQ|2019|08|19|15|30|68600|1.39|1.3|1.3|1.36|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|98|NASDAQ|2019|08|20|15|30|28900|1.34|1.258|1.3|1.258|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|97|NASDAQ|2019|08|21|15|30|29200|1.35|1.291|1.35|1.34|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|96|NASDAQ|2019|08|22|15|30|46400|1.368|1.27|1.29|1.34|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|95|NASDAQ|2019|08|23|15|30|95400|1.35|1.27|1.33|1.29|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|94|NASDAQ|2019|08|26|15|30|40600|1.33|1.29|1.317|1.32|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|93|NASDAQ|2019|08|27|15|30|28500|1.36|1.28|1.28|1.34|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|92|NASDAQ|2019|08|28|15|30|8900|1.3|1.27|1.27|1.28|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|91|NASDAQ|2019|08|29|15|30|83500|1.31|1.17|1.25|1.31|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|90|NASDAQ|2019|08|30|15|30|19800|1.27|1.21|1.24|1.25|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|8|NASDAQ|2019|12|27|15|30|243700|0.66|0.621|0.65|0.65|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|89|NASDAQ|2019|09|03|15|30|24700|1.24|1.21|1.24|1.22|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|88|NASDAQ|2019|09|04|15|30|28300|1.24|1.19|1.2|1.24|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|87|NASDAQ|2019|09|05|15|30|21400|1.264|1.19|1.26|1.19|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|86|NASDAQ|2019|09|06|15|30|14500|1.255|1.21|1.247|1.24|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
MTP|85|NASDAQ|2019|09|09|15|30|25600|1.32|1.24|1.32|1.25|biotechnology|18.549999|-|-|-|-|73|usa|-|-|-|healthcare|-|20.02
