empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
NTLA|9|NASDAQ|2019|12|26|15|30|298800|16.15|15.7|15.84|16.07|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|99|NASDAQ|2019|08|19|15|30|373400|17.780001|17.27|17.450001|17.700001|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|98|NASDAQ|2019|08|20|15|30|395300|17.43|16.76|17.059999|17.43|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|97|NASDAQ|2019|08|21|15|30|453800|17.299999|16.950001|17.23|17.27|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|96|NASDAQ|2019|08|22|15|30|328200|17.290001|16.66|16.85|17.290001|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|95|NASDAQ|2019|08|23|15|30|555000|16.98|15.7|15.77|16.73|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|94|NASDAQ|2019|08|26|15|30|675700|15.91|14.67|14.87|15.91|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|93|NASDAQ|2019|08|27|15|30|547300|14.91|13.87|13.9|14.91|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|92|NASDAQ|2019|08|28|15|30|500800|14.23|13.5|14.1|13.84|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|91|NASDAQ|2019|08|29|15|30|754000|14.45|13.6|14.1|14.28|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|90|NASDAQ|2019|08|30|15|30|456000|14.97|13.98|14.19|14.7|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|8|NASDAQ|2019|12|27|15|30|377500|15.965|15.3|15.38|15.88|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|89|NASDAQ|2019|09|03|15|30|563500|14.25|13.15|13.24|14.03|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|88|NASDAQ|2019|09|04|15|30|479700|13.65|12.88|13.22|13.37|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|87|NASDAQ|2019|09|05|15|30|369300|13.94|13.22|13.84|13.51|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|86|NASDAQ|2019|09|06|15|30|427000|14.23|13.61|13.63|13.85|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|85|NASDAQ|2019|09|09|15|30|283200|13.92|13.42|13.68|13.72|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|84|NASDAQ|2019|09|10|15|30|387900|14.39|13.5|14.38|13.59|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|83|NASDAQ|2019|09|11|15|30|421100|15.26|14.43|15.21|14.47|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|82|NASDAQ|2019|09|12|15|30|334900|15.42|14.49|14.75|15.18|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|81|NASDAQ|2019|09|13|15|30|350400|15|14.24|14.25|14.76|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|80|NASDAQ|2019|09|16|15|30|234700|14.71|14.15|14.64|14.19|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|7|NASDAQ|2019|12|30|15|30|559400|15.61|14.63|14.78|15.4|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|79|NASDAQ|2019|09|17|15|30|255700|15.09|14.43|14.83|14.64|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|78|NASDAQ|2019|09|18|15|30|249000|14.96|14.53|14.87|14.96|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
NTLA|77|NASDAQ|2019|09|19|15|30|272600|15.04|14.39|14.41|14.91|biotechnology|19.98|7.9|7.9|-|-|211|usa|0.02|0|-15.7|healthcare|76.900002|674.73999
