empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
PDBC|9|NASDAQ|2019|12|26|15|30|502000|16.65|16.57|16.620001|16.57|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|99|NASDAQ|2019|08|19|15|30|383500|15.527|15.445|15.51|15.49|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|98|NASDAQ|2019|08|20|15|30|693700|15.551|15.41|15.51|15.51|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|97|NASDAQ|2019|08|21|15|30|535400|15.677|15.553|15.57|15.65|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|96|NASDAQ|2019|08|22|15|30|393000|15.601|15.48|15.5|15.58|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|95|NASDAQ|2019|08|23|15|30|407100|15.5|15.32|15.38|15.37|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|94|NASDAQ|2019|08|26|15|30|787200|15.54|15.341|15.37|15.51|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|93|NASDAQ|2019|08|27|15|30|634000|15.49|15.38|15.48|15.41|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|92|NASDAQ|2019|08|28|15|30|1185800|15.68|15.575|15.65|15.59|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|91|NASDAQ|2019|08|29|15|30|942900|15.695|15.59|15.67|15.64|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|90|NASDAQ|2019|08|30|15|30|902600|15.63|15.4|15.44|15.62|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|8|NASDAQ|2019|12|27|15|30|507400|16.690001|16.620001|16.67|16.620001|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|89|NASDAQ|2019|09|03|15|30|441600|15.36|15.23|15.33|15.25|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|88|NASDAQ|2019|09|04|15|30|854700|15.74|15.52|15.7|15.52|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|87|NASDAQ|2019|09|05|15|30|1059700|15.83|15.65|15.68|15.74|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|86|NASDAQ|2019|09|06|15|30|5512600|15.755|15.53|15.68|15.54|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|85|NASDAQ|2019|09|09|15|30|559500|15.876|15.76|15.83|15.76|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|84|NASDAQ|2019|09|10|15|30|349800|15.98|15.85|15.88|15.86|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|83|NASDAQ|2019|09|11|15|30|740800|15.95|15.69|15.76|15.93|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|82|NASDAQ|2019|09|12|15|30|395400|15.72|15.54|15.7|15.54|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|81|NASDAQ|2019|09|13|15|30|1910700|15.76|15.68|15.7|15.76|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|80|NASDAQ|2019|09|16|15|30|1840600|16.540001|16.24|16.379999|16.24|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|7|NASDAQ|2019|12|30|15|30|523400|16.76|16.57|16.65|16.73|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|79|NASDAQ|2019|09|17|15|30|850100|16.41|16|16.049999|16.370001|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|78|NASDAQ|2019|09|18|15|30|3109300|16.076|15.93|15.98|16.01|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|77|NASDAQ|2019|09|19|15|30|262700|16.120001|16.030001|16.08|16.059999|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|76|NASDAQ|2019|09|20|15|30|308700|16.110001|15.98|16.040001|16.07|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|75|NASDAQ|2019|09|23|15|30|772400|16.129999|16.040001|16.1|16.049999|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|74|NASDAQ|2019|09|24|15|30|387400|16.08|15.895|15.9|16.040001|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|73|NASDAQ|2019|09|25|15|30|363100|15.85|15.74|15.84|15.77|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|72|NASDAQ|2019|09|26|15|30|228000|15.86|15.71|15.83|15.79|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|71|NASDAQ|2019|09|27|15|30|445100|15.83|15.68|15.8|15.7|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|70|NASDAQ|2019|09|30|15|30|383100|15.74|15.572|15.62|15.65|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|6|NASDAQ|2019|12|31|15|30|1780800|16.65|16.51|16.559999|16.52|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|69|NASDAQ|2019|10|01|15|30|455500|15.654|15.55|15.6|15.61|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|68|NASDAQ|2019|10|02|15|30|561000|15.58|15.41|15.48|15.57|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|67|NASDAQ|2019|10|03|15|30|611700|15.5|15.3|15.48|15.34|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|66|NASDAQ|2019|10|04|15|30|4096100|15.61|15.5|15.57|15.53|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|65|NASDAQ|2019|10|07|15|30|811100|15.666|15.541|15.57|15.57|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|64|NASDAQ|2019|10|08|15|30|561100|15.62|15.47|15.55|15.47|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
PDBC|63|NASDAQ|2019|10|09|15|30|398200|15.73|15.6|15.61|15.72|exchangetradedfund|-|-|-|-|1.44|-|usa|-|-|-|financial|-|-
