empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
QGEN|9|NASDAQ|2019|12|26|15|30|22688300|33.57|30.23|32.91|30.57|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|99|NASDAQ|2019|08|19|15|30|462600|34.98|34.610001|34.810001|34.880001|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|98|NASDAQ|2019|08|20|15|30|1437700|34.540001|34.040001|34.169998|34.529999|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|97|NASDAQ|2019|08|21|15|30|784700|35.049999|34.599998|34.799999|34.73|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|96|NASDAQ|2019|08|22|15|30|1069400|35.110001|34.560001|34.560001|34.98|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|95|NASDAQ|2019|08|23|15|30|781100|34.810001|34.240002|34.299999|34.540001|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|94|NASDAQ|2019|08|26|15|30|434300|34.57|34.240002|34.349998|34.27|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|93|NASDAQ|2019|08|27|15|30|713500|34.619999|34.299999|34.349998|34.610001|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|92|NASDAQ|2019|08|28|15|30|280000|34.439999|34.150002|34.209999|34.41|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|91|NASDAQ|2019|08|29|15|30|361500|34.700001|34.450001|34.599998|34.599998|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|90|NASDAQ|2019|08|30|15|30|496100|34.959999|34.5|34.689999|34.91|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|8|NASDAQ|2019|12|27|15|30|5227500|34.189999|33.450001|33.669998|33.490002|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|89|NASDAQ|2019|09|03|15|30|627800|34.68|34.310001|34.509998|34.560001|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|88|NASDAQ|2019|09|04|15|30|596600|34.689999|34.310001|34.400002|34.66|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
QGEN|87|NASDAQ|2019|09|05|15|30|1203400|34.41|34.110001|34.279999|34.369999|researchservices|3.6|2.2|2.4|-|-|5200|netherlands|0.71|0.68|6.21|services|70.599998|7989.999512
