empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
QK|9|NASDAQ|2019|12|26|15|30|33100|11.269|10.11|10.16|11|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|8|NASDAQ|2019|12|27|15|30|5300|11.007|10.7|10.98|10.94|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|7|NASDAQ|2019|12|30|15|30|2300|10.816|10.5|10.5|10.7|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|6|NASDAQ|2019|12|31|15|30|19200|12.24|10.486|11|10.5|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|5|NASDAQ|2020|01|02|15|30|7800|13.2|10.799|11.32|13.2|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|4|NASDAQ|2020|01|03|15|30|3000|11.892|10.96|11.12|11.892|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|44|NASDAQ|2019|11|05|15|30|374200|19|17.059999|17.639999|17.35|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|43|NASDAQ|2019|11|06|15|30|37600|18.275|17.639999|18.075001|17.879999|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|42|NASDAQ|2019|11|07|15|30|45400|19.5|18.17|19|18.17|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|41|NASDAQ|2019|11|08|15|30|30400|20.438|18.67|19.049999|19.4|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|40|NASDAQ|2019|11|11|15|30|26900|19.16|17.68|18.379999|19.16|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|3|NASDAQ|2020|01|06|15|30|5900|12.5|11.2|11.64|11.5|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|39|NASDAQ|2019|11|12|15|30|9500|18.705|18|18.139999|18.08|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|38|NASDAQ|2019|11|13|15|30|12500|17.99|16.01|17.5|17.959999|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|37|NASDAQ|2019|11|14|15|30|6700|17.74|16.5|16.5|17.74|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|36|NASDAQ|2019|11|15|15|30|26000|16.809999|13.533|13.711|16.809999|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|35|NASDAQ|2019|11|18|15|30|14200|14.97|13.7|14.06|13.94|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|34|NASDAQ|2019|11|19|15|30|7500|14.82|13.7|14.38|13.7|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|33|NASDAQ|2019|11|20|15|30|12600|15|14.12|14.49|14.17|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|32|NASDAQ|2019|11|21|15|30|7300|15.1|14.4|15.1|14.4|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|31|NASDAQ|2019|11|22|15|30|9900|15.12|14.52|15.05|15.12|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|30|NASDAQ|2019|11|25|15|30|5500|15|14.33|14.94|15|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|2|NASDAQ|2020|01|07|15|30|3500|11.67|10.724|11.48|11.48|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|29|NASDAQ|2019|11|26|15|30|3900|15|14.7|14.98|15|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|28|NASDAQ|2019|11|27|15|30|1400|15.176|14.83|15.1|14.83|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|27|NASDAQ|2019|11|29|15|30|800|14.72|14.72|14.72|14.72|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|26|NASDAQ|2019|12|02|15|30|3900|15.186|14.69|15.15|15.11|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|25|NASDAQ|2019|12|03|15|30|12400|16|14.434|15.8|15.4|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|24|NASDAQ|2019|12|04|15|30|3900|15.8|15.21|15.48|15.8|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|23|NASDAQ|2019|12|05|15|30|7300|15.52|13.871|14.48|15.4|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|22|NASDAQ|2019|12|06|15|30|4200|14.38|14|14.38|14.3|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|21|NASDAQ|2019|12|09|15|30|33900|14.39|13.01|13.48|14.38|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|20|NASDAQ|2019|12|10|15|30|1000|13.45|13.32|13.45|13.38|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|1|NASDAQ|2020|01|08|15|30|5300|12.6|11.31|12.45|12.6|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|19|NASDAQ|2019|12|11|15|30|6500|13.45|12.25|13.1|13.45|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|18|NASDAQ|2019|12|12|15|30|28400|13.31|10.429|11.13|12.98|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|17|NASDAQ|2019|12|13|15|30|5700|11.12|9.8|10.94|11.12|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|16|NASDAQ|2019|12|16|15|30|4300|11.25|10|11.04|11.25|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|15|NASDAQ|2019|12|17|15|30|7500|11|10.1|10.71|11|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|14|NASDAQ|2019|12|18|15|30|8700|10.44|10.02|10.3|10.31|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|13|NASDAQ|2019|12|19|15|30|2800|10.72|10.26|10.72|10.26|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|12|NASDAQ|2019|12|20|15|30|6200|10.8|10.17|10.68|10.7|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|11|NASDAQ|2019|12|23|15|30|23900|11.65|10.5|11|10.67|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|10|NASDAQ|2019|12|24|15|30|9500|11.05|10.51|11.05|10.51|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
QK|0|NASDAQ|2020|01|09|15|30|4000|12.13|11.42|11.8|11.55|propertymanagement|-|0.5|0.5|-|-|1222|china|-|-|29.5|financial|-|503.160004
