empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
TEAM|9|NASDAQ|2019|12|26|15|30|568900|123.339996|120.019997|121.699997|120.199997|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|99|NASDAQ|2019|08|19|15|30|1326800|143.389999|138.539993|141.270004|143|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|98|NASDAQ|2019|08|20|15|30|536800|143|140.080002|142.139999|140.699997|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|97|NASDAQ|2019|08|21|15|30|817700|145|141.660004|143.869995|142.199997|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|96|NASDAQ|2019|08|22|15|30|785400|145.800995|141.169998|143.440002|143.509995|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|95|NASDAQ|2019|08|23|15|30|871900|146.699997|140.692001|141.050003|141.809998|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|94|NASDAQ|2019|08|26|15|30|556800|143|140.5|142.860001|141.789993|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|93|NASDAQ|2019|08|27|15|30|1056100|145.054993|140.479996|142.619995|144.320007|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|92|NASDAQ|2019|08|28|15|30|1491600|141.75|136.649994|138.270004|141.75|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|91|NASDAQ|2019|08|29|15|30|1174200|141.455002|137.330002|138.050003|140|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|90|NASDAQ|2019|08|30|15|30|1750200|139.175003|130.839996|134.509995|138.429993|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|8|NASDAQ|2019|12|27|15|30|592500|122.5|120.519997|121.120003|122.410004|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|89|NASDAQ|2019|09|03|15|30|1195600|135.686005|130.350006|131.889999|132.919998|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|88|NASDAQ|2019|09|04|15|30|1738200|133.419998|129.639999|129.830002|133.360001|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|87|NASDAQ|2019|09|05|15|30|2338400|133.460007|126.150002|133.339996|130.770004|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|86|NASDAQ|2019|09|06|15|30|2474600|137.589996|131.580002|132.210007|134.649994|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|85|NASDAQ|2019|09|09|15|30|3455300|134.044998|119.652|126.269997|132.309998|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|84|NASDAQ|2019|09|10|15|30|2584500|125.639999|120.209999|122.25|124|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|83|NASDAQ|2019|09|11|15|30|1082600|124.790001|120.514999|122.839996|121.93|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
TEAM|82|NASDAQ|2019|09|12|15|30|1851800|128.490005|123.910004|125.510002|123.910004|informationtechnologyservices|0.95|0.9|0.9|-|-|3616|australia|1.24|0|29.459999|technology|89.900002|32430
