empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
THCAU|9|NASDAQ|2019|12|26|15|30|200|10.096|10.096|10.096|10.096|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|99|NASDAQ|2019|08|19|15|30|5100|10.09|10.08|10.08|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|98|NASDAQ|2019|08|20|15|30|0|10.08|10.08|10.08|10.08|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|97|NASDAQ|2019|08|21|15|30|0|10.08|10.08|10.08|10.08|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|96|NASDAQ|2019|08|22|15|30|5000|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|95|NASDAQ|2019|08|23|15|30|0|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|94|NASDAQ|2019|08|26|15|30|2100|10.08|10.05|10.05|10.077|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|93|NASDAQ|2019|08|27|15|30|1300|10.053|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|92|NASDAQ|2019|08|28|15|30|0|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|91|NASDAQ|2019|08|29|15|30|5100|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|90|NASDAQ|2019|08|30|15|30|9400|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|8|NASDAQ|2019|12|27|15|30|0|10.096|10.096|10.096|10.096|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|89|NASDAQ|2019|09|03|15|30|0|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|88|NASDAQ|2019|09|04|15|30|0|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|87|NASDAQ|2019|09|05|15|30|0|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|86|NASDAQ|2019|09|06|15|30|310200|10.065|10.05|10.06|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|85|NASDAQ|2019|09|09|15|30|6000|10.06|10.048|10.05|10.06|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|84|NASDAQ|2019|09|10|15|30|0|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|83|NASDAQ|2019|09|11|15|30|71600|10.05|10.03|10.05|10.03|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|82|NASDAQ|2019|09|12|15|30|0|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|81|NASDAQ|2019|09|13|15|30|102800|10.07|10.04|10.04|10.04|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|80|NASDAQ|2019|09|16|15|30|10100|10.05|10.04|10.04|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|7|NASDAQ|2019|12|30|15|30|17600|10.1|10.08|10.09|10.08|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|79|NASDAQ|2019|09|17|15|30|300|10.044|10.044|10.044|10.044|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|78|NASDAQ|2019|09|18|15|30|0|10.044|10.044|10.044|10.044|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|77|NASDAQ|2019|09|19|15|30|62500|10.05|10.04|10.05|10.04|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|76|NASDAQ|2019|09|20|15|30|100|10.04|10.04|10.04|10.04|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|75|NASDAQ|2019|09|23|15|30|0|10.04|10.04|10.04|10.04|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|74|NASDAQ|2019|09|24|15|30|2300|10.05|10.047|10.047|10.047|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|73|NASDAQ|2019|09|25|15|30|6000|10.05|10.045|10.05|10.045|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|72|NASDAQ|2019|09|26|15|30|0|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|71|NASDAQ|2019|09|27|15|30|0|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|70|NASDAQ|2019|09|30|15|30|6200|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|6|NASDAQ|2019|12|31|15|30|0|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|69|NASDAQ|2019|10|01|15|30|2500|10.05|10.048|10.048|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|68|NASDAQ|2019|10|02|15|30|0|10.048|10.048|10.048|10.048|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|67|NASDAQ|2019|10|03|15|30|100|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|66|NASDAQ|2019|10|04|15|30|30000|10.08|10.08|10.08|10.08|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|65|NASDAQ|2019|10|07|15|30|26600|10.06|10.05|10.06|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|64|NASDAQ|2019|10|08|15|30|5400|10.06|10.05|10.05|10.06|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|63|NASDAQ|2019|10|09|15|30|3500|10.06|10.05|10.05|10.06|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|62|NASDAQ|2019|10|10|15|30|149600|10.1|10.05|10.1|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|61|NASDAQ|2019|10|11|15|30|82200|10.08|10.05|10.07|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|60|NASDAQ|2019|10|14|15|30|600|10.072|10.062|10.062|10.072|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|5|NASDAQ|2020|01|02|15|30|0|10.09|10.09|10.09|10.09|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|59|NASDAQ|2019|10|15|15|30|0|10.062|10.062|10.062|10.062|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|58|NASDAQ|2019|10|16|15|30|0|10.062|10.062|10.062|10.062|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|57|NASDAQ|2019|10|17|15|30|0|10.062|10.062|10.062|10.062|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|56|NASDAQ|2019|10|18|15|30|0|10.062|10.062|10.062|10.062|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|55|NASDAQ|2019|10|21|15|30|0|10.062|10.062|10.062|10.062|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|54|NASDAQ|2019|10|22|15|30|0|10.062|10.062|10.062|10.062|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|53|NASDAQ|2019|10|23|15|30|11500|10.05|10.05|10.05|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|52|NASDAQ|2019|10|24|15|30|4500|10.17|10.05|10.12|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|51|NASDAQ|2019|10|25|15|30|200|10.18|10.05|10.18|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|50|NASDAQ|2019|10|28|14|30|300|10.08|10.08|10.08|10.08|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|4|NASDAQ|2020|01|03|15|30|5700|10.1|10.1|10.1|10.1|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|49|NASDAQ|2019|10|29|14|30|11700|10.18|10.05|10.177|10.05|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|48|NASDAQ|2019|10|30|14|30|1900|10.18|10.12|10.18|10.15|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|47|NASDAQ|2019|10|31|14|30|4500|10.18|10.18|10.18|10.18|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|46|NASDAQ|2019|11|01|14|30|0|10.18|10.18|10.18|10.18|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|45|NASDAQ|2019|11|04|15|30|0|10.18|10.18|10.18|10.18|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
THCAU|44|NASDAQ|2019|11|05|15|30|1100|10.15|10.13|10.13|10.15|conglomerates|-|-|-|-|-|-|usa|-|-|-|conglomerates|62.709999|-
