empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
XBIO|9|NASDAQ|2019|12|26|15|30|301100|1.51|1.37|1.45|1.38|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|99|NASDAQ|2019|08|19|15|30|387200|1.955|1.71|1.92|1.93|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|98|NASDAQ|2019|08|20|15|30|123000|1.89|1.78|1.84|1.89|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|97|NASDAQ|2019|08|21|15|30|230100|1.93|1.8|1.87|1.88|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|96|NASDAQ|2019|08|22|15|30|527800|2.097|1.85|1.87|2.08|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|95|NASDAQ|2019|08|23|15|30|398200|1.88|1.75|1.777|1.84|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|94|NASDAQ|2019|08|26|15|30|245100|1.94|1.76|1.93|1.8|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|93|NASDAQ|2019|08|27|15|30|225900|2|1.75|1.8|1.92|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|92|NASDAQ|2019|08|28|15|30|287200|1.8|1.7|1.71|1.8|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|91|NASDAQ|2019|08|29|15|30|876500|1.72|1.56|1.61|1.69|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|90|NASDAQ|2019|08|30|15|30|557800|1.75|1.59|1.66|1.63|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|8|NASDAQ|2019|12|27|15|30|184000|1.5|1.41|1.43|1.49|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|89|NASDAQ|2019|09|03|15|30|783700|1.68|1.51|1.55|1.68|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|88|NASDAQ|2019|09|04|15|30|657800|1.59|1.4|1.48|1.59|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|87|NASDAQ|2019|09|05|15|30|421000|1.58|1.35|1.42|1.5|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|86|NASDAQ|2019|09|06|15|30|670100|1.63|1.4|1.57|1.43|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
XBIO|85|NASDAQ|2019|09|09|15|30|254300|1.6|1.42|1.48|1.6|biotechnology|4.9|7.6|7.6|-|-|7|unitedkingdom|0|0|-|healthcare|19.4|8.95
