empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
PHUN|9|NASDAQ|2020|01|03|15|30|95400|1.26|1.18|1.23|1.25|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|99|NASDAQ|2019|08|26|15|30|3472100|1.88|1.4|1.79|1.47|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|98|NASDAQ|2019|08|27|15|30|2113100|1.87|1.24|1.52|1.79|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|97|NASDAQ|2019|08|28|15|30|597700|1.6|1.45|1.52|1.52|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|96|NASDAQ|2019|08|29|15|30|624500|1.6|1.45|1.51|1.54|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|95|NASDAQ|2019|08|30|15|30|786300|1.64|1.47|1.5|1.52|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|94|NASDAQ|2019|09|03|15|30|840300|1.65|1.49|1.52|1.5|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|93|NASDAQ|2019|09|04|15|30|544900|1.59|1.51|1.55|1.52|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|92|NASDAQ|2019|09|05|15|30|851800|1.74|1.57|1.67|1.57|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|91|NASDAQ|2019|09|06|15|30|740500|1.8|1.65|1.76|1.65|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|90|NASDAQ|2019|09|09|15|30|701000|1.8|1.57|1.62|1.76|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|8|NASDAQ|2020|01|06|15|30|1098400|1.32|1.18|1.24|1.23|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|89|NASDAQ|2019|09|10|15|30|418300|1.78|1.65|1.76|1.66|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|88|NASDAQ|2019|09|11|15|30|753500|1.84|1.74|1.76|1.75|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|87|NASDAQ|2019|09|12|15|30|606400|1.822|1.65|1.7|1.77|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|86|NASDAQ|2019|09|13|15|30|562300|1.79|1.66|1.73|1.72|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
PHUN|85|NASDAQ|2019|09|16|15|30|488200|1.78|1.7|1.72|1.73|applicationsoftware|3.9|0.2|0.2|-|-|148|usa|0.05|0.05|-|technology|22.299999|41.959999
