empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
PNBK|9|NASDAQ|2020|01|03|15|30|1900|13.01|12.82|12.85|12.82|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|99|NASDAQ|2019|08|26|15|30|200|13.82|13.82|13.82|13.82|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|98|NASDAQ|2019|08|27|15|30|3100|13.99|12.6|13.99|12.6|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|97|NASDAQ|2019|08|28|15|30|1200|13.78|13.36|13.78|13.36|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|96|NASDAQ|2019|08|29|15|30|1500|13.57|13.22|13.57|13.22|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|95|NASDAQ|2019|08|30|15|30|200|13.32|13.32|13.32|13.32|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|94|NASDAQ|2019|09|03|15|30|400|13.2|13.2|13.2|13.2|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|93|NASDAQ|2019|09|04|15|30|16800|14.29|13|13.34|13|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|92|NASDAQ|2019|09|05|15|30|400|13|13|13|13|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|91|NASDAQ|2019|09|06|15|30|0|13|13|13|13|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|90|NASDAQ|2019|09|09|15|30|0|13|13|13|13|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|8|NASDAQ|2020|01|06|15|30|400|12.7|12.7|12.7|12.7|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|89|NASDAQ|2019|09|10|15|30|200|12.89|12.89|12.89|12.89|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|88|NASDAQ|2019|09|11|15|30|500|12.85|12.85|12.85|12.85|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|87|NASDAQ|2019|09|12|15|30|0|12.85|12.85|12.85|12.85|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|86|NASDAQ|2019|09|13|15|30|100|12.85|12.85|12.85|12.85|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|85|NASDAQ|2019|09|16|15|30|100|12.85|12.85|12.85|12.85|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|84|NASDAQ|2019|09|17|15|30|100|12.66|12.66|12.66|12.66|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
PNBK|83|NASDAQ|2019|09|18|15|30|200|12.57|12.57|12.57|12.57|regionalnortheastbanks|66.010002|-|-|-|0.3|118|usa|0.45|0.45|-|financial|6.3|51.740002
