empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
RAVE|9|NASDAQ|2020|01|03|15|30|4000|1.82|1.7|1.82|1.73|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|99|NASDAQ|2019|08|26|15|30|21400|2.56|2.45|2.49|2.54|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|98|NASDAQ|2019|08|27|15|30|16100|2.52|2.37|2.43|2.52|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|97|NASDAQ|2019|08|28|15|30|27800|2.5|2.27|2.5|2.39|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|96|NASDAQ|2019|08|29|15|30|20700|2.64|2.36|2.49|2.43|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|95|NASDAQ|2019|08|30|15|30|5700|2.49|2.42|2.45|2.49|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|94|NASDAQ|2019|09|03|15|30|14000|2.57|2.38|2.38|2.46|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|93|NASDAQ|2019|09|04|15|30|5200|2.46|2.37|2.42|2.37|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|92|NASDAQ|2019|09|05|15|30|17400|2.5|2.39|2.49|2.43|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|91|NASDAQ|2019|09|06|15|30|5000|2.56|2.28|2.56|2.28|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|90|NASDAQ|2019|09|09|15|30|12600|2.57|2.4|2.43|2.56|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|8|NASDAQ|2020|01|06|15|30|4200|1.77|1.73|1.73|1.75|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|89|NASDAQ|2019|09|10|15|30|10200|2.6|2.44|2.6|2.45|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|88|NASDAQ|2019|09|11|15|30|13800|2.6|2.46|2.59|2.5|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|87|NASDAQ|2019|09|12|15|30|13700|2.53|2.43|2.48|2.53|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|86|NASDAQ|2019|09|13|15|30|11600|2.52|2.48|2.48|2.49|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|85|NASDAQ|2019|09|16|15|30|4900|2.53|2.48|2.49|2.48|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|84|NASDAQ|2019|09|17|15|30|28000|2.6|2.48|2.52|2.51|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|83|NASDAQ|2019|09|18|15|30|10100|2.55|2.45|2.45|2.48|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|82|NASDAQ|2019|09|19|15|30|21600|2.55|2.4|2.55|2.43|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
RAVE|81|NASDAQ|2019|09|20|15|30|236700|2.88|2.55|2.71|2.55|restaurants|0.2|1.9|1.9|-|-|2|usa|0.32|0.32|-|services|46.900002|25.709999
