empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
RDIB|9|NASDAQ|2020|01|03|15|30|1088|24.432699|22.260099|24.432699|22.260099|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|99|NASDAQ|2019|08|26|15|30|0|22|22|22|22|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|98|NASDAQ|2019|08|27|15|30|0|22|22|22|22|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|97|NASDAQ|2019|08|28|15|30|0|22|22|22|22|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|96|NASDAQ|2019|08|29|15|30|2605|23.1|21.9|22.65|21.9|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|95|NASDAQ|2019|08|30|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|94|NASDAQ|2019|09|03|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|93|NASDAQ|2019|09|04|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|92|NASDAQ|2019|09|05|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|91|NASDAQ|2019|09|06|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|90|NASDAQ|2019|09|09|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|8|NASDAQ|2020|01|06|15|30|1330|24|23.01|23.290001|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|89|NASDAQ|2019|09|10|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|88|NASDAQ|2019|09|11|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|87|NASDAQ|2019|09|12|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|86|NASDAQ|2019|09|13|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|85|NASDAQ|2019|09|16|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|84|NASDAQ|2019|09|17|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|83|NASDAQ|2019|09|18|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|82|NASDAQ|2019|09|19|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|81|NASDAQ|2019|09|20|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|80|NASDAQ|2019|09|23|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|7|NASDAQ|2020|01|07|15|30|0|23.290001|23.290001|23.290001|23.290001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|79|NASDAQ|2019|09|24|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|78|NASDAQ|2019|09|25|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|77|NASDAQ|2019|09|26|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|76|NASDAQ|2019|09|27|15|30|0|22.65|22.65|22.65|22.65|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|75|NASDAQ|2019|09|30|15|30|322|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|74|NASDAQ|2019|10|01|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|73|NASDAQ|2019|10|02|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|72|NASDAQ|2019|10|03|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|71|NASDAQ|2019|10|04|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|70|NASDAQ|2019|10|07|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|6|NASDAQ|2020|01|08|15|30|0|23.290001|23.290001|23.290001|23.290001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|69|NASDAQ|2019|10|08|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|68|NASDAQ|2019|10|09|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|67|NASDAQ|2019|10|10|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|66|NASDAQ|2019|10|11|15|30|0|25|25|25|25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|65|NASDAQ|2019|10|14|15|30|2840|26|23.7509|24.25|26|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|64|NASDAQ|2019|10|15|15|30|0|24.25|24.25|24.25|24.25|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|63|NASDAQ|2019|10|16|15|30|1961|24.6758|23.670401|24.219999|24.089899|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|62|NASDAQ|2019|10|17|15|30|0|24.219999|24.219999|24.219999|24.219999|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|61|NASDAQ|2019|10|18|15|30|2792|24.75|24|24.360001|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|60|NASDAQ|2019|10|21|15|30|0|24.360001|24.360001|24.360001|24.360001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|5|NASDAQ|2020|01|09|15|30|0|23.290001|23.290001|23.290001|23.290001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|59|NASDAQ|2019|10|22|15|30|0|24.360001|24.360001|24.360001|24.360001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|58|NASDAQ|2019|10|23|15|30|0|24.360001|24.360001|24.360001|24.360001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|57|NASDAQ|2019|10|24|15|30|202|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|56|NASDAQ|2019|10|25|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|55|NASDAQ|2019|10|28|14|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|54|NASDAQ|2019|10|29|14|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|53|NASDAQ|2019|10|30|14|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|52|NASDAQ|2019|10|31|14|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|51|NASDAQ|2019|11|01|14|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|50|NASDAQ|2019|11|04|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|4|NASDAQ|2020|01|10|15|30|0|23.290001|23.290001|23.290001|23.290001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|49|NASDAQ|2019|11|05|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|48|NASDAQ|2019|11|06|15|30|153|24.100401|24.100401|24.100401|24.100401|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|47|NASDAQ|2019|11|07|15|30|0|24.100401|24.100401|24.100401|24.100401|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|46|NASDAQ|2019|11|08|15|30|0|24.100401|24.100401|24.100401|24.100401|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|45|NASDAQ|2019|11|11|15|30|0|24.100401|24.100401|24.100401|24.100401|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|44|NASDAQ|2019|11|12|15|30|0|24.100401|24.100401|24.100401|24.100401|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|43|NASDAQ|2019|11|13|15|30|592|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|42|NASDAQ|2019|11|14|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|41|NASDAQ|2019|11|15|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|40|NASDAQ|2019|11|18|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|3|NASDAQ|2020|01|13|15|30|0|23.290001|23.290001|23.290001|23.290001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|39|NASDAQ|2019|11|19|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|38|NASDAQ|2019|11|20|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|37|NASDAQ|2019|11|21|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|36|NASDAQ|2019|11|22|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|35|NASDAQ|2019|11|25|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|34|NASDAQ|2019|11|26|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|33|NASDAQ|2019|11|27|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|32|NASDAQ|2019|11|29|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|31|NASDAQ|2019|12|02|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|30|NASDAQ|2019|12|03|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|2|NASDAQ|2020|01|14|15|30|0|23.290001|23.290001|23.290001|23.290001|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|29|NASDAQ|2019|12|04|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|28|NASDAQ|2019|12|05|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|27|NASDAQ|2019|12|06|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|26|NASDAQ|2019|12|09|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|25|NASDAQ|2019|12|10|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|24|NASDAQ|2019|12|11|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|23|NASDAQ|2019|12|12|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|22|NASDAQ|2019|12|13|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|21|NASDAQ|2019|12|16|15|30|201|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|20|NASDAQ|2019|12|17|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|1|NASDAQ|2020|01|15|15|30|838|25.309999|23.559999|23.559999|25.309999|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|19|NASDAQ|2019|12|18|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|18|NASDAQ|2019|12|19|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|17|NASDAQ|2019|12|20|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|16|NASDAQ|2019|12|23|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|15|NASDAQ|2019|12|24|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|14|NASDAQ|2019|12|26|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|13|NASDAQ|2019|12|27|15|30|0|24|24|24|24|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
RDIB|12|NASDAQ|2019|12|30|15|30|22212|41.490002|27.93|31.51|27.93|entertainmentdiversified|84.32|-|-|90.309998|-|2944|usa|-|-|-|services|7.27|39.759998
