empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
SPAR|9|NASDAQ|2020|01|03|15|30|402300|18.360001|17.639999|18.07|18.26|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|99|NASDAQ|2019|08|26|15|30|120200|11.74|11.41|11.7|11.48|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|98|NASDAQ|2019|08|27|15|30|127600|11.82|11.59|11.66|11.72|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|97|NASDAQ|2019|08|28|15|30|105500|11.94|11.52|11.9|11.67|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|96|NASDAQ|2019|08|29|15|30|238800|12.75|12.04|12.59|12.07|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|95|NASDAQ|2019|08|30|15|30|257400|12.75|12.23|12.61|12.59|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|94|NASDAQ|2019|09|03|15|30|179500|12.51|11.69|11.92|12.51|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|93|NASDAQ|2019|09|04|15|30|128600|12.17|11.73|11.75|12.01|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|92|NASDAQ|2019|09|05|15|30|200400|12.15|11.64|11.95|11.88|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
SPAR|91|NASDAQ|2019|09|06|15|30|106000|12.07|11.8|11.83|12.04|trucksothervehicles|1.7|1.2|1.7|35.810001|0.58|2338|usa|0.63|0.54|11.15|consumergoods|74.599998|583.710022
