empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
SRCL|9|NASDAQ|2020|01|03|15|30|679000|62.639999|61.73|61.970001|62.23|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|99|NASDAQ|2019|08|26|15|30|902300|43.93|42.84|43.540001|43.189999|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|98|NASDAQ|2019|08|27|15|30|1841600|44.18|42.779999|44.07|43.790001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|97|NASDAQ|2019|08|28|15|30|959300|45.200001|43.48|45.16|43.950001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|96|NASDAQ|2019|08|29|15|30|917300|46.080002|44.669998|44.950001|45.619999|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|95|NASDAQ|2019|08|30|15|30|761700|45.75|44.439999|44.889999|45.380001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|94|NASDAQ|2019|09|03|15|30|789800|45.07|44.360001|44.509998|44.52|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|93|NASDAQ|2019|09|04|15|30|571200|46.720001|45.07|46.68|45.169998|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|92|NASDAQ|2019|09|05|15|30|694500|47.209999|46.27|46.389999|47.209999|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|91|NASDAQ|2019|09|06|15|30|869500|47.060001|45.68|45.98|46.450001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|90|NASDAQ|2019|09|09|15|30|1080000|47.669998|45.950001|47.34|46.080002|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|8|NASDAQ|2020|01|06|15|30|487100|62.630001|61.32|62.509998|61.799999|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|89|NASDAQ|2019|09|10|15|30|877700|48.790001|46.709999|48.77|47.200001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|88|NASDAQ|2019|09|11|15|30|1386900|51.259998|48.259998|51.119999|49.060001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|87|NASDAQ|2019|09|12|15|30|1627100|53.029999|50.720001|52.509998|51.09|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|86|NASDAQ|2019|09|13|15|30|1099200|53.099998|50.709999|50.990002|52.950001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|85|NASDAQ|2019|09|16|15|30|818100|52.34|50.540001|52.139999|50.93|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|84|NASDAQ|2019|09|17|15|30|668400|52.080002|50.119999|50.619999|51.810001|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|83|NASDAQ|2019|09|18|15|30|697500|50.939999|50.07|50.619999|50.580002|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|82|NASDAQ|2019|09|19|15|30|664600|51.240002|49.75|49.869999|50.650002|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|81|NASDAQ|2019|09|20|15|30|1208600|50.73|49.720001|50.330002|49.849998|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|80|NASDAQ|2019|09|23|15|30|555400|50.389999|49.639999|50.07|49.98|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|7|NASDAQ|2020|01|07|15|30|350500|62.849998|61.91|62.630001|62.48|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|79|NASDAQ|2019|09|24|15|30|648600|50.48|48.389999|48.990002|49.93|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
SRCL|78|NASDAQ|2019|09|25|15|30|620900|49.419998|48.48|48.669998|48.799999|wastemanagement|0.49|0.9|0.9|-|-|22500|usa|1.1|1.06|10.25|industrialgoods|-|5750
