empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
SYRS|9|NASDAQ|2020|01|03|15|30|244500|7.067|6.83|6.98|7|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|99|NASDAQ|2019|08|26|15|30|182300|10.97|10.19|10.51|10.97|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|98|NASDAQ|2019|08|27|15|30|119100|10.78|10.11|10.24|10.57|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|97|NASDAQ|2019|08|28|15|30|125100|10.69|9.99|10.62|10.14|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|96|NASDAQ|2019|08|29|15|30|99100|11.26|9.576|10.97|10.73|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|95|NASDAQ|2019|08|30|15|30|210300|11.1|10.57|10.97|11.03|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|94|NASDAQ|2019|09|03|15|30|350600|11.295|10.85|10.93|10.89|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|93|NASDAQ|2019|09|04|15|30|132400|10.96|9.667|9.72|10.9|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|92|NASDAQ|2019|09|05|15|30|202000|10.02|9.21|9.33|9.9|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|91|NASDAQ|2019|09|06|15|30|127000|9.69|9.11|9.61|9.27|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|90|NASDAQ|2019|09|09|15|30|69500|10.17|9.5|10.05|9.54|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|8|NASDAQ|2020|01|06|15|30|239600|7|6.758|6.94|6.88|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|89|NASDAQ|2019|09|10|15|30|117400|10.98|9.78|10.94|10.05|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|88|NASDAQ|2019|09|11|15|30|213600|11.74|10.91|11.65|10.97|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|87|NASDAQ|2019|09|12|15|30|132600|11.8|11.39|11.59|11.68|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|86|NASDAQ|2019|09|13|15|30|102200|11.93|11.28|11.48|11.61|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|85|NASDAQ|2019|09|16|15|30|80300|11.9|11.301|11.47|11.4|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
SYRS|84|NASDAQ|2019|09|17|15|30|97300|11.68|11.27|11.45|11.45|biotechnology|2.3|4.9|4.9|-|-|76|usa|0.01|0.01|0|healthcare|90.900002|337.850006
