empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
TRVI|9|NASDAQ|2020|01|03|15|30|57500|5.301|3.73|4.284|3.74|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|99|NASDAQ|2019|08|26|15|30|3100|5.14|4.67|5.14|4.67|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|98|NASDAQ|2019|08|27|15|30|700|4.69|4.69|4.69|4.69|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|97|NASDAQ|2019|08|28|15|30|1500|4.99|4.64|4.99|4.64|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|96|NASDAQ|2019|08|29|15|30|2600|5.37|4.6|4.82|5|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|95|NASDAQ|2019|08|30|15|30|4400|5.524|4.8|4.96|4.8|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|94|NASDAQ|2019|09|03|15|30|15400|4.87|4.05|4.2|4.87|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|93|NASDAQ|2019|09|04|15|30|2300|4.5|4.2|4.5|4.2|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|92|NASDAQ|2019|09|05|15|30|76200|5.971|4.5|4.5|4.53|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|91|NASDAQ|2019|09|06|15|30|10400|5.07|4.5|4.81|4.55|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|90|NASDAQ|2019|09|09|15|30|15000|5.02|4.78|5|5|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|8|NASDAQ|2020|01|06|15|30|20900|4.886|4.028|4.372|4.49|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|89|NASDAQ|2019|09|10|15|30|7200|5|4.85|4.91|5|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
TRVI|88|NASDAQ|2019|09|11|15|30|8700|5.02|4.81|4.85|4.91|biotechnology|7.49|13|13|-|-|16|usa|0|0|2.6|healthcare|86.300003|88.120003
