empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
TSG|9|NASDAQ|2020|01|03|15|30|1203800|26.42|25.84|26.02|26.209999|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|99|NASDAQ|2019|08|26|15|30|2330600|14.27|13.86|14.21|14.17|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|98|NASDAQ|2019|08|27|15|30|1680500|14.55|14.27|14.52|14.35|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|97|NASDAQ|2019|08|28|15|30|1572700|14.85|14.41|14.8|14.45|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|96|NASDAQ|2019|08|29|15|30|967400|15.27|14.94|15.13|14.95|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|95|NASDAQ|2019|08|30|15|30|1045200|15.47|15.08|15.19|15.17|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|94|NASDAQ|2019|09|03|15|30|1727000|15.38|14.99|15.35|15.29|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|93|NASDAQ|2019|09|04|15|30|1958900|15.87|15.44|15.74|15.53|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|92|NASDAQ|2019|09|05|15|30|1743800|16.33|15.85|16.190001|15.85|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|91|NASDAQ|2019|09|06|15|30|1236000|16.43|15.92|16.27|16.129999|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|90|NASDAQ|2019|09|09|15|30|1327800|16.52|16.24|16.459999|16.27|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|8|NASDAQ|2020|01|06|15|30|2318400|26.190001|25.709999|25.98|25.879999|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
TSG|89|NASDAQ|2019|09|10|15|30|2555800|16.440001|15.85|16.26|16.139999|gamingactivities|6.66|-|-|-|-|4516|canada|-|-|7.9|services|27.120001|7130
