empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
USIG|9|NASDAQ|2020|01|03|15|30|517700|58.610001|58.459999|58.549999|58.490002|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|99|NASDAQ|2019|08|26|15|30|204900|58.720001|58.540001|58.580002|58.639999|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|98|NASDAQ|2019|08|27|15|30|217300|58.860001|58.709999|58.790001|58.720001|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|97|NASDAQ|2019|08|28|15|30|393500|58.98|58.82|58.860001|58.98|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|96|NASDAQ|2019|08|29|15|30|240000|58.84|58.630001|58.77|58.84|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|95|NASDAQ|2019|08|30|15|30|215600|58.790001|58.619999|58.790001|58.700001|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|94|NASDAQ|2019|09|03|15|30|3924600|58.73|58.490002|58.540001|58.610001|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|93|NASDAQ|2019|09|04|15|30|263200|58.73|58.509998|58.669998|58.529999|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|92|NASDAQ|2019|09|05|15|30|286700|58.439999|58.200001|58.360001|58.439999|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|91|NASDAQ|2019|09|06|15|30|494400|58.529999|58.400002|58.459999|58.400002|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|90|NASDAQ|2019|09|09|15|30|1042100|58.290001|58.139999|58.16|58.27|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|8|NASDAQ|2020|01|06|15|30|354700|58.650002|58.400002|58.490002|58.650002|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|89|NASDAQ|2019|09|10|15|30|236100|58.09|57.709999|57.709999|58.080002|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|88|NASDAQ|2019|09|11|15|30|260200|57.84|57.689999|57.740002|57.689999|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|87|NASDAQ|2019|09|12|15|30|196500|57.950001|57.580002|57.630001|57.950001|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|86|NASDAQ|2019|09|13|15|30|227700|57.52|57.189999|57.23|57.450001|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|85|NASDAQ|2019|09|16|15|30|268500|57.48|57.279999|57.459999|57.41|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|84|NASDAQ|2019|09|17|15|30|5169100|57.650002|57.380001|57.630001|57.43|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|83|NASDAQ|2019|09|18|15|30|198800|57.93|57.59|57.720001|57.790001|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
USIG|82|NASDAQ|2019|09|19|15|30|1615200|57.93|57.77|57.830002|57.91|exchangetradedfund|-|-|-|-|3.35|-|usa|-|-|-|financial|-|-
