empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
USOI|9|NASDAQ|2020|01|03|15|30|5700|21.837999|21.27|21.836|21.639999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|99|NASDAQ|2019|08|26|15|30|2100|20.153999|18.995001|19.33|20.153999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|98|NASDAQ|2019|08|27|15|30|2500|19.733|19.299999|19.733|19.299999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|97|NASDAQ|2019|08|28|15|30|5500|20.190001|19.882|19.916|19.889999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|96|NASDAQ|2019|08|29|15|30|5100|20.360001|20.120001|20.15|20.34|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|95|NASDAQ|2019|08|30|15|30|3400|20.450001|19.875|20.058001|20.450001|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|94|NASDAQ|2019|09|03|15|30|8300|19.535|19.1|19.42|19.52|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|93|NASDAQ|2019|09|04|15|30|6800|20.403999|19.982|20.344|20.403999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|92|NASDAQ|2019|09|05|15|30|6200|20.804001|20.309999|20.360001|20.42|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|91|NASDAQ|2019|09|06|15|30|2400|20.441|20.129|20.280001|20.233999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|90|NASDAQ|2019|09|09|15|30|4000|20.858|20.09|20.839001|20.09|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|8|NASDAQ|2020|01|06|15|30|11900|22.105|21.697001|22.01|22.1|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|89|NASDAQ|2019|09|10|15|30|2700|20.792|20.639999|20.639999|20.792|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|88|NASDAQ|2019|09|11|15|30|8200|20.639999|20|20|20.639999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|87|NASDAQ|2019|09|12|15|30|5100|20.794001|19.639999|20.232|19.639999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|86|NASDAQ|2019|09|13|15|30|2800|20.337|19.799999|19.950001|20.18|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|85|NASDAQ|2019|09|16|15|30|28000|21.76|20.389999|21.440001|20.700001|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|84|NASDAQ|2019|09|17|15|30|7400|21.83|20.719999|20.73|21.83|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|83|NASDAQ|2019|09|18|15|30|1000|20.885|20.65|20.700001|20.747999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|82|NASDAQ|2019|09|19|15|30|9700|20.757|20.370001|20.59|20.757|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|81|NASDAQ|2019|09|20|15|30|10900|20.879999|20.52|20.879999|20.681999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|80|NASDAQ|2019|09|23|15|30|2600|20.799999|20.524|20.740999|20.799999|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|7|NASDAQ|2020|01|07|15|30|3900|21.959999|21.802999|21.950001|21.870001|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|79|NASDAQ|2019|09|24|15|30|3100|20.6|20.370001|20.4|20.572001|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|78|NASDAQ|2019|09|25|15|30|5600|20.277|20|20.277|20.26|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|77|NASDAQ|2019|09|26|15|30|2300|20.52|20.157|20.224001|20.52|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|76|NASDAQ|2019|09|27|15|30|400|20.200001|20.200001|20.200001|20.200001|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|75|NASDAQ|2019|09|30|15|30|9700|20.370001|19.549999|19.67|20.370001|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|74|NASDAQ|2019|10|01|15|30|5300|19.775|19.35|19.448|19.774|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|73|NASDAQ|2019|10|02|15|30|2900|19.52|19.01|19.200001|19.52|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|72|NASDAQ|2019|10|03|15|30|10000|19.139999|18.6|19.139999|19.02|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|71|NASDAQ|2019|10|04|15|30|4600|19.280001|18.655001|19|18.655001|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|70|NASDAQ|2019|10|07|15|30|3700|19.700001|19.379999|19.5|19.6|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|6|NASDAQ|2020|01|08|15|30|16300|22.040001|21.025|21.209|22|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
USOI|69|NASDAQ|2019|10|08|15|30|900|19.15|19.1|19.1|19.15|exchangetradedfund|-|-|-|-|18.129999|-|usa|-|-|-|financial|-|-
