empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
ZNGA|9|NASDAQ|2020|01|03|15|30|10287900|6.23|6.11|6.23|6.12|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|99|NASDAQ|2019|08|26|15|30|19077800|5.65|5.53|5.6|5.63|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|98|NASDAQ|2019|08|27|15|30|19151700|5.84|5.67|5.72|5.74|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|97|NASDAQ|2019|08|28|15|30|17534400|5.75|5.57|5.73|5.68|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|96|NASDAQ|2019|08|29|15|30|10097100|5.84|5.74|5.79|5.77|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|95|NASDAQ|2019|08|30|15|30|8402900|5.83|5.68|5.71|5.82|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|94|NASDAQ|2019|09|03|15|30|20486100|5.7|5.53|5.57|5.65|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|93|NASDAQ|2019|09|04|15|30|15279000|5.66|5.54|5.63|5.61|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|92|NASDAQ|2019|09|05|15|30|12354200|5.71|5.59|5.64|5.67|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|91|NASDAQ|2019|09|06|15|30|29633900|5.92|5.65|5.86|5.67|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|90|NASDAQ|2019|09|09|15|30|32470400|5.88|5.73|5.74|5.86|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|8|NASDAQ|2020|01|06|15|30|21705600|6.32|6.14|6.27|6.14|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|89|NASDAQ|2019|09|10|15|30|20104100|5.78|5.69|5.72|5.7|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|88|NASDAQ|2019|09|11|15|30|15696000|5.81|5.73|5.76|5.75|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|87|NASDAQ|2019|09|12|15|30|19542400|5.94|5.78|5.88|5.78|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|86|NASDAQ|2019|09|13|15|30|28002000|5.99|5.65|5.92|5.8|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|85|NASDAQ|2019|09|16|15|30|18429700|5.94|5.86|5.87|5.87|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|84|NASDAQ|2019|09|17|15|30|24987800|6.07|5.91|6.04|6|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|83|NASDAQ|2019|09|18|15|30|28049000|6.15|5.93|6.04|6.1|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|82|NASDAQ|2019|09|19|15|30|20849800|6.15|6.01|6.12|6.01|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|81|NASDAQ|2019|09|20|15|30|16885800|6.18|6.06|6.16|6.11|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|80|NASDAQ|2019|09|23|15|30|11826200|6.22|6.08|6.16|6.15|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|7|NASDAQ|2020|01|07|15|30|24634800|6.5|6.31|6.49|6.33|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|79|NASDAQ|2019|09|24|15|30|14697800|6.19|6|6.03|6.18|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|78|NASDAQ|2019|09|25|15|30|11709300|6.08|5.97|6.04|6.01|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|77|NASDAQ|2019|09|26|15|30|18108600|6.06|5.93|6|6.03|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|76|NASDAQ|2019|09|27|15|30|22129800|6.06|5.8|5.84|6.03|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|75|NASDAQ|2019|09|30|15|30|15898100|5.86|5.73|5.82|5.85|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|74|NASDAQ|2019|10|01|15|30|16633200|5.89|5.76|5.78|5.82|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|73|NASDAQ|2019|10|02|15|30|19196500|5.77|5.63|5.73|5.75|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|72|NASDAQ|2019|10|03|15|30|14606600|5.83|5.7|5.81|5.74|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|71|NASDAQ|2019|10|04|15|30|11547400|5.97|5.82|5.97|5.84|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|70|NASDAQ|2019|10|07|15|30|15181000|6.02|5.84|5.99|5.93|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|6|NASDAQ|2020|01|08|15|30|17936300|6.62|6.46|6.59|6.48|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|69|NASDAQ|2019|10|08|15|30|29321400|6.07|5.88|5.96|5.96|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|68|NASDAQ|2019|10|09|15|30|17957900|6.16|5.96|6.13|6.01|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|67|NASDAQ|2019|10|10|15|30|17617400|6.15|6.02|6.1|6.12|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|66|NASDAQ|2019|10|11|15|30|12298000|6.2|6.1|6.14|6.14|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|65|NASDAQ|2019|10|14|15|30|13970300|6.17|6.04|6.09|6.15|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|64|NASDAQ|2019|10|15|15|30|13363500|6.2|6.1|6.19|6.12|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|63|NASDAQ|2019|10|16|15|30|21035100|6.23|6.12|6.2|6.17|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|62|NASDAQ|2019|10|17|15|30|14731500|6.31|6.18|6.24|6.23|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|61|NASDAQ|2019|10|18|15|30|20226600|6.28|6.12|6.23|6.24|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|60|NASDAQ|2019|10|21|15|30|17445800|6.35|6.21|6.29|6.25|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|5|NASDAQ|2020|01|09|15|30|17963600|6.78|6.66|6.7|6.66|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|59|NASDAQ|2019|10|22|15|30|15588900|6.3|6.13|6.13|6.28|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|58|NASDAQ|2019|10|23|15|30|13004900|6.22|6.03|6.08|6.1|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|57|NASDAQ|2019|10|24|15|30|15551200|6.16|6.07|6.16|6.11|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|56|NASDAQ|2019|10|25|15|30|16672000|6.2|6.1|6.16|6.16|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|55|NASDAQ|2019|10|28|14|30|14467500|6.24|6.07|6.16|6.15|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|54|NASDAQ|2019|10|29|14|30|19468300|6.17|6.05|6.07|6.16|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|53|NASDAQ|2019|10|30|14|30|21691700|6.23|6.07|6.21|6.12|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|52|NASDAQ|2019|10|31|14|30|28327400|6.47|6.04|6.17|6.35|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|51|NASDAQ|2019|11|01|14|30|21261200|6.42|6.16|6.35|6.21|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|50|NASDAQ|2019|11|04|15|30|14751800|6.34|6.24|6.25|6.34|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|4|NASDAQ|2020|01|10|15|30|19870400|6.8|6.6|6.62|6.71|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|49|NASDAQ|2019|11|05|15|30|17825000|6.32|6.2|6.3|6.28|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|48|NASDAQ|2019|11|06|15|30|10192100|6.32|6.22|6.29|6.27|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|47|NASDAQ|2019|11|07|15|30|12107600|6.34|6.22|6.23|6.29|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
ZNGA|46|NASDAQ|2019|11|08|15|30|9465800|6.29|6.18|6.28|6.27|multimediagraphicssoftware|4.8|2.1|2.1|168.160004|-|1777|usa|0|0.29|3.85|technology|79.800003|6080
