empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
BPR|9|NASDAQ|2020|01|10|15|30|635000|18.450001|18.34|18.360001|18.4|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|99|NASDAQ|2019|09|03|15|30|1293900|18.91|18.6|18.709999|18.9|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|98|NASDAQ|2019|09|04|15|30|971800|18.98|18.76|18.940001|18.780001|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|97|NASDAQ|2019|09|05|15|30|1278500|19.34|18.91|19.299999|18.99|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|96|NASDAQ|2019|09|06|15|30|960200|19.459999|19.219999|19.389999|19.32|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|95|NASDAQ|2019|09|09|15|30|1424300|19.91|19.41|19.879999|19.440001|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|94|NASDAQ|2019|09|10|15|30|870400|20.15|19.799999|20.120001|20|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|93|NASDAQ|2019|09|11|15|30|513800|20.200001|20.01|20.16|20.18|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|92|NASDAQ|2019|09|12|15|30|528500|20.35|20.129999|20.280001|20.200001|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|91|NASDAQ|2019|09|13|15|30|868200|20.4|20.01|20.07|20.360001|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|90|NASDAQ|2019|09|16|15|30|481200|20.23|19.940001|20.219999|19.99|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|8|NASDAQ|2020|01|13|15|30|928000|18.559999|18.299999|18.5|18.32|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|89|NASDAQ|2019|09|17|15|30|532700|20.219999|19.9|19.969999|20.219999|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
BPR|88|NASDAQ|2019|09|18|15|30|1261400|19.98|19.76|19.879999|19.969999|reitretail|0.08|-|-|-|6.81|-|usa|25.190001|25.190001|-|financial|80.599998|1250
