empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CCCL|9|NASDAQ|2020|01|10|15|30|1189000|0.82|0.71|0.8|0.74|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|99|NASDAQ|2019|09|03|15|30|32800|0.8|0.76|0.79|0.78|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|98|NASDAQ|2019|09|04|15|30|15800|0.82|0.75|0.76|0.79|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|97|NASDAQ|2019|09|05|15|30|253200|0.88|0.75|0.8|0.78|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|96|NASDAQ|2019|09|06|15|30|38600|0.85|0.8|0.83|0.8|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|95|NASDAQ|2019|09|09|15|30|38700|0.87|0.76|0.81|0.8|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|94|NASDAQ|2019|09|10|15|30|92500|0.89|0.81|0.88|0.85|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|93|NASDAQ|2019|09|11|15|30|60800|0.9|0.82|0.9|0.82|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|92|NASDAQ|2019|09|12|15|30|40000|0.91|0.85|0.9|0.9|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|91|NASDAQ|2019|09|13|15|30|24100|0.92|0.86|0.92|0.88|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|90|NASDAQ|2019|09|16|15|30|20700|0.91|0.88|0.9|0.88|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
CCCL|8|NASDAQ|2020|01|13|15|30|1442000|0.88|0.75|0.82|0.85|generalbuildingmaterials|49|0.9|1.7|-|-|2041|china|0.07|0|-|industrialgoods|1.6|4.28
