empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CIZN|9|NASDAQ|2020|01|10|15|30|0|21.68|21.68|21.68|21.68|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|99|NASDAQ|2019|09|03|15|30|900|20.5|19.84|20.120001|19.84|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|98|NASDAQ|2019|09|04|15|30|1500|19.950001|19.950001|19.950001|19.950001|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|97|NASDAQ|2019|09|05|15|30|700|20.049999|19.950001|20.049999|19.950001|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|96|NASDAQ|2019|09|06|15|30|1800|20|19.889999|20|19.889999|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|95|NASDAQ|2019|09|09|15|30|2000|20.5|20|20.5|20|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|94|NASDAQ|2019|09|10|15|30|500|19.969999|19.969999|19.969999|19.969999|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|93|NASDAQ|2019|09|11|15|30|1700|20.379999|19.83|19.83|19.85|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|92|NASDAQ|2019|09|12|15|30|1600|20.209999|19.85|20.040001|19.870001|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|91|NASDAQ|2019|09|13|15|30|5400|19.77|19.370001|19.5|19.75|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|90|NASDAQ|2019|09|16|15|30|2200|19.790001|19.049999|19.790001|19.309999|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|8|NASDAQ|2020|01|13|15|30|0|21.68|21.68|21.68|21.68|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|89|NASDAQ|2019|09|17|15|30|4200|19.98|19.700001|19.9|19.700001|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|88|NASDAQ|2019|09|18|15|30|1500|19.9|19.9|19.9|19.9|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|87|NASDAQ|2019|09|19|15|30|600|20.1|20|20|20.1|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|86|NASDAQ|2019|09|20|15|30|2400|21|20|21|20|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|85|NASDAQ|2019|09|23|15|30|1100|20.25|20.02|20.120001|20.25|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|84|NASDAQ|2019|09|24|15|30|100|20.120001|20.120001|20.120001|20.120001|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|83|NASDAQ|2019|09|25|15|30|300|20.01|20.01|20.01|20.01|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|82|NASDAQ|2019|09|26|15|30|300|20.01|20.01|20.01|20.01|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|81|NASDAQ|2019|09|27|15|30|900|20.25|20|20|20.25|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
CIZN|80|NASDAQ|2019|09|30|15|30|7600|20.35|19.4|20.35|20.24|regionalnortheastbanks|0.1|-|-|19.1|4.36|235|usa|0|0|-|financial|6.8|122.760002
