empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CMCTP|9|NASDAQ|2020|01|10|15|30|0|26.35|26.35|26.35|26.35|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|99|NASDAQ|2019|09|03|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|98|NASDAQ|2019|09|04|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|97|NASDAQ|2019|09|05|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|96|NASDAQ|2019|09|06|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|95|NASDAQ|2019|09|09|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|94|NASDAQ|2019|09|10|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|93|NASDAQ|2019|09|11|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|92|NASDAQ|2019|09|12|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|91|NASDAQ|2019|09|13|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|90|NASDAQ|2019|09|16|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|8|NASDAQ|2020|01|13|15|30|100|26.389999|26.389999|26.389999|26.389999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|89|NASDAQ|2019|09|17|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|88|NASDAQ|2019|09|18|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|87|NASDAQ|2019|09|19|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|86|NASDAQ|2019|09|20|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|85|NASDAQ|2019|09|23|15|30|0|26.799999|26.799999|26.799999|26.799999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|84|NASDAQ|2019|09|24|15|30|300|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|83|NASDAQ|2019|09|25|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|82|NASDAQ|2019|09|26|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|81|NASDAQ|2019|09|27|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|80|NASDAQ|2019|09|30|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|7|NASDAQ|2020|01|14|15|30|0|26.389999|26.389999|26.389999|26.389999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|79|NASDAQ|2019|10|01|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|78|NASDAQ|2019|10|02|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|77|NASDAQ|2019|10|03|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|76|NASDAQ|2019|10|04|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|75|NASDAQ|2019|10|07|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|74|NASDAQ|2019|10|08|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|73|NASDAQ|2019|10|09|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|72|NASDAQ|2019|10|10|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|71|NASDAQ|2019|10|11|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|70|NASDAQ|2019|10|14|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|6|NASDAQ|2020|01|15|15|30|0|26.389999|26.389999|26.389999|26.389999|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|69|NASDAQ|2019|10|15|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|68|NASDAQ|2019|10|16|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
CMCTP|67|NASDAQ|2019|10|17|15|30|0|26.85|26.85|26.85|26.85|reitoffice|-|-|-|1.25|5.84|5|usa|-|-|-|financial|-|1170
