empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CSII|9|NASDAQ|2020|01|10|15|30|313800|50.950001|49.740002|50.709999|50.139999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|99|NASDAQ|2019|09|03|15|30|295500|48.57|46.310001|46.68|48.290001|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|98|NASDAQ|2019|09|04|15|30|614400|47.139999|45.049999|45.650002|47.139999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|97|NASDAQ|2019|09|05|15|30|275100|46.689999|45.400002|46.400002|46.43|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|96|NASDAQ|2019|09|06|15|30|215200|47.360001|46|46.610001|46.459999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|95|NASDAQ|2019|09|09|15|30|292800|47.150002|45.450001|46.57|46.52|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|94|NASDAQ|2019|09|10|15|30|298900|48.52|45.220001|48.419998|46.189999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|93|NASDAQ|2019|09|11|15|30|284800|51|48.369999|50.77|48.439999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|92|NASDAQ|2019|09|12|15|30|254700|51.200001|49.709999|51.110001|51|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|91|NASDAQ|2019|09|13|15|30|210800|52.139999|50.77|50.869999|51.560001|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|90|NASDAQ|2019|09|16|15|30|227000|52.02|49.27|51.630001|50.549999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|8|NASDAQ|2020|01|13|15|30|342400|51.349998|50.029999|50.84|50.5|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|89|NASDAQ|2019|09|17|15|30|213600|52.540001|51.389999|51.639999|51.619999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|88|NASDAQ|2019|09|18|15|30|170400|51.650002|50.119999|50.880001|51.610001|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|87|NASDAQ|2019|09|19|15|30|165500|51.299999|49.889999|49.919998|50.970001|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|86|NASDAQ|2019|09|20|15|30|480300|50.66|49.619999|50.540001|49.630001|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
CSII|85|NASDAQ|2019|09|23|15|30|124100|51.490002|49.52|50.029999|50.369999|medicalappliancesequipment|2.8|3|3.5|-|-|731|usa|0.15|0.15|700|healthcare|95.099998|1810
