empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CUBA|9|NASDAQ|2020|01|10|15|30|1600|6.8|6.7|6.79|6.7|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|99|NASDAQ|2019|09|03|15|30|4300|6.28|6.14|6.25|6.23|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|98|NASDAQ|2019|09|04|15|30|9500|6.33|6.27|6.32|6.27|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|97|NASDAQ|2019|09|05|15|30|23200|6.39|6.32|6.39|6.35|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|96|NASDAQ|2019|09|06|15|30|5600|6.4|6.32|6.36|6.4|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|95|NASDAQ|2019|09|09|15|30|2600|6.39|6.28|6.36|6.34|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|94|NASDAQ|2019|09|10|15|30|12900|6.44|6.15|6.41|6.29|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|93|NASDAQ|2019|09|11|15|30|24100|6.45|6.4|6.45|6.4|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|92|NASDAQ|2019|09|12|15|30|8400|6.5|6.43|6.49|6.43|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|91|NASDAQ|2019|09|13|15|30|20100|6.7|6.45|6.7|6.45|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|90|NASDAQ|2019|09|16|15|30|46700|6.68|6.56|6.64|6.62|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|8|NASDAQ|2020|01|13|15|30|7300|6.77|6.67|6.75|6.76|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|89|NASDAQ|2019|09|17|15|30|4400|6.65|6.56|6.65|6.58|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|88|NASDAQ|2019|09|18|15|30|43800|6.8|6.6|6.73|6.6|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
CUBA|87|NASDAQ|2019|09|19|15|30|13500|6.49|6.31|6.4|6.4|closedendfundequity|23.25|-|-|-|17.08|-|usa|-|-|-|financial|32.950001|40.93
