empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
CXSE|9|NASDAQ|2020|01|10|15|30|15400|87.599998|87.110001|87.349998|87.330002|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|99|NASDAQ|2019|09|03|15|30|3600|71.860001|71.629997|71.720001|71.629997|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|98|NASDAQ|2019|09|04|15|30|14200|72.949997|72.779999|72.870003|72.839996|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|97|NASDAQ|2019|09|05|15|30|9700|74.260002|73.709999|74.230003|73.709999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|96|NASDAQ|2019|09|06|15|30|4200|74.540001|74.220001|74.43|74.510002|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|95|NASDAQ|2019|09|09|15|30|3900|74.699997|74.370003|74.470001|74.470001|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|94|NASDAQ|2019|09|10|15|30|14300|74.419998|73.980003|74.099998|74.419998|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|93|NASDAQ|2019|09|11|15|30|6200|74.690002|74.339996|74.57|74.339996|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|92|NASDAQ|2019|09|12|15|30|26500|75.739998|75.010002|75.480003|75.279999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|91|NASDAQ|2019|09|13|15|30|9000|76.160004|75.900002|75.910004|75.970001|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|90|NASDAQ|2019|09|16|15|30|35200|75.25|74.889999|75.07|75.230003|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|8|NASDAQ|2020|01|13|15|30|22700|89.370003|88.400002|89.25|88.660004|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|89|NASDAQ|2019|09|17|15|30|4500|75.029999|74.120003|75.029999|74.339996|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|88|NASDAQ|2019|09|18|15|30|4100|74.860001|74.5|74.830002|74.860001|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|87|NASDAQ|2019|09|19|15|30|3700|75.360001|74.93|74.93|75.010002|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|86|NASDAQ|2019|09|20|15|30|4100|75.010002|74.099998|74.309998|74.870003|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|85|NASDAQ|2019|09|23|15|30|3300|73.82|73.559998|73.75|73.699997|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|84|NASDAQ|2019|09|24|15|30|6500|73.389999|72.160004|72.199997|73.389999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|83|NASDAQ|2019|09|25|15|30|9700|72.730003|71.760002|72.720001|71.940002|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|82|NASDAQ|2019|09|26|15|30|12000|72.449997|72.059998|72.239998|72.379997|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|81|NASDAQ|2019|09|27|15|30|24300|72.610001|70.089996|70.339996|72.379997|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|80|NASDAQ|2019|09|30|15|30|3500|71.480003|71.089996|71.089996|71.480003|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|7|NASDAQ|2020|01|14|15|30|25400|88.599998|88.089996|88.300003|88.459999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|79|NASDAQ|2019|10|01|15|30|2900|71.209999|70.580002|70.669998|71.209999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|78|NASDAQ|2019|10|02|15|30|3500|70.779999|70.349998|70.779999|70.459999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|77|NASDAQ|2019|10|03|15|30|56700|71.730003|70.860001|71.639999|71.07|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|76|NASDAQ|2019|10|04|15|30|4000|72.050003|71.370003|72.050003|71.529999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|75|NASDAQ|2019|10|07|15|30|5300|71.839996|71.489998|71.580002|71.489998|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|74|NASDAQ|2019|10|08|15|30|14200|70.879997|70.43|70.43|70.720001|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|73|NASDAQ|2019|10|09|15|30|1200|71.559998|71.32|71.559998|71.32|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|72|NASDAQ|2019|10|10|15|30|9200|72.82|71.900002|72.449997|71.900002|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|71|NASDAQ|2019|10|11|15|30|25500|74.32|73.510002|73.970001|73.599998|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|70|NASDAQ|2019|10|14|15|30|5300|74.029999|73.760002|73.809998|73.889999|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|6|NASDAQ|2020|01|15|15|30|95100|88.559998|88.169998|88.230003|88.269997|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
CXSE|69|NASDAQ|2019|10|15|15|30|4600|74.559998|74.139999|74.410004|74.150002|exchangetradedfund|-|-|-|-|1.01|-|usa|-|-|-|financial|-|-
