empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
DWSH|9|NASDAQ|2020|01|10|15|30|39700|23.18|22.98|23.15|23.129999|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|99|NASDAQ|2019|09|03|15|30|20800|29.148001|28.745001|28.879999|28.783001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|98|NASDAQ|2019|09|04|15|30|63200|28.799999|28.059999|28.136|28.799999|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|97|NASDAQ|2019|09|05|15|30|21500|28.040001|27.1|27.115|28.040001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|96|NASDAQ|2019|09|06|15|30|7700|27.330999|27.09|27.290001|27.24|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|95|NASDAQ|2019|09|09|15|30|53500|27.040001|25.879999|25.950001|27.040001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|94|NASDAQ|2019|09|10|15|30|43900|26.27|25.25|25.25|26.27|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|93|NASDAQ|2019|09|11|15|30|44500|25.370001|24.799999|24.799999|25.370001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|92|NASDAQ|2019|09|12|15|30|154600|25.322001|24.91|25.01|24.91|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|91|NASDAQ|2019|09|13|15|30|20800|25.104|24.59|24.945|24.799999|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|90|NASDAQ|2019|09|16|15|30|21500|25|24.219999|24.23|25|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|8|NASDAQ|2020|01|13|15|30|4900|23.215|23.02|23.049999|23.215|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|89|NASDAQ|2019|09|17|15|30|5800|25|24.719999|25|24.780001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|88|NASDAQ|2019|09|18|15|30|14700|25.409|25.09|25.16|25.09|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|87|NASDAQ|2019|09|19|15|30|27900|25.379999|25.07|25.299999|25.1|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|86|NASDAQ|2019|09|20|15|30|17300|25.6|25.219999|25.43|25.4|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|85|NASDAQ|2019|09|23|15|30|13100|25.599001|25.332001|25.444|25.549999|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|84|NASDAQ|2019|09|24|15|30|34400|26.645|25.458|26.129999|25.59|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|83|NASDAQ|2019|09|25|15|30|28800|26.389999|25.780001|25.795|26.389999|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|82|NASDAQ|2019|09|26|15|30|10400|26.368999|26.110001|26.16|26.110001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|81|NASDAQ|2019|09|27|15|30|18000|26.240999|25.83|26.16|25.889999|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|80|NASDAQ|2019|09|30|15|30|45000|26.120001|25.92|25.940001|25.92|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|7|NASDAQ|2020|01|14|15|30|22000|23.037001|22.645|22.780001|23.037001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|79|NASDAQ|2019|10|01|15|30|114500|26.889999|25.59|26.700001|25.940001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|78|NASDAQ|2019|10|02|15|30|295200|27.49|26.870001|27.41|26.870001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|77|NASDAQ|2019|10|03|15|30|57700|27.879999|27.08|27.08|27.450001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|76|NASDAQ|2019|10|04|15|30|17800|27.454|27|27.08|27.15|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|75|NASDAQ|2019|10|07|15|30|18600|27.200001|26.75|27.129999|27.17|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|74|NASDAQ|2019|10|08|15|30|40100|27.809999|27.42|27.799999|27.51|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|73|NASDAQ|2019|10|09|15|30|34200|27.794001|27.52|27.67|27.690001|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|72|NASDAQ|2019|10|10|15|30|13200|27.85|27.261|27.370001|27.85|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
DWSH|71|NASDAQ|2019|10|11|15|30|87200|27.299999|26.309999|26.51|27.299999|exchangetradedfund|-|-|-|-|0.13|-|usa|-|-|-|financial|-|-
