empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
EEMA|9|NASDAQ|2020|01|10|15|30|41400|72.589996|72.050003|72.489998|72.230003|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|99|NASDAQ|2019|09|03|15|30|18100|62.07|61.73|61.900002|61.91|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|98|NASDAQ|2019|09|04|15|30|16200|63.110001|62.799999|63.099998|62.799999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|97|NASDAQ|2019|09|05|15|30|49000|64.029999|63.849998|63.959999|63.849998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|96|NASDAQ|2019|09|06|15|30|14800|64.57|64.07|64.07|64.400002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|95|NASDAQ|2019|09|09|15|30|18700|64.480003|64.160004|64.199997|64.199997|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|94|NASDAQ|2019|09|10|15|30|18700|64.510002|64.169998|64.379997|64.510002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|93|NASDAQ|2019|09|11|15|30|12100|64.93|64.550003|64.910004|64.550003|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|92|NASDAQ|2019|09|12|15|30|30800|65.669998|65.18|65.290001|65.220001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|91|NASDAQ|2019|09|13|15|30|33700|65.809998|65.650002|65.769997|65.650002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|90|NASDAQ|2019|09|16|15|30|388500|65.25|64.93|64.970001|65|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|8|NASDAQ|2020|01|13|15|30|32300|73.709999|72.940002|73.589996|73.040001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|89|NASDAQ|2019|09|17|15|30|16200|65.099998|64.730003|65.029999|64.730003|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|88|NASDAQ|2019|09|18|15|30|28300|65.029999|64.589996|64.970001|65.029999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|87|NASDAQ|2019|09|19|15|30|90100|65.120003|64.709999|64.849998|64.959999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|86|NASDAQ|2019|09|20|15|30|22600|65.410004|64.790001|64.989998|65.269997|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|85|NASDAQ|2019|09|23|15|30|7500|65.059998|64.769997|64.949997|64.870003|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|84|NASDAQ|2019|09|24|15|30|8000|64.610001|64.120003|64.120003|64.610001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|83|NASDAQ|2019|09|25|15|30|2900|64.230003|63.790001|64.139999|64.019997|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|82|NASDAQ|2019|09|26|15|30|2900|64.449997|64.139999|64.209999|64.260002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|81|NASDAQ|2019|09|27|15|30|16600|64.309998|63.02|63.200001|64.099998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|80|NASDAQ|2019|09|30|15|30|27200|64.050003|63.740002|63.740002|63.82|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|7|NASDAQ|2020|01|14|15|30|68100|73.349998|72.93|73.290001|73.279999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|79|NASDAQ|2019|10|01|15|30|38900|64.010002|63.27|63.400002|64.010002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|78|NASDAQ|2019|10|02|15|30|45500|63.040001|62.669998|62.939999|62.950001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|77|NASDAQ|2019|10|03|15|30|11300|63.799999|63.110001|63.720001|63.48|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|76|NASDAQ|2019|10|04|15|30|78200|63.869999|63.34|63.869999|63.52|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
EEMA|75|NASDAQ|2019|10|07|15|30|20400|63.689999|63.369999|63.419998|63.59|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|financial|-|-
