empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
FANG|9|NASDAQ|2020|01|10|15|30|1684400|93.68|91.910004|92.260002|93.68|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|99|NASDAQ|2019|09|03|15|30|1427100|97.32|93.860001|97|95.290001|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|98|NASDAQ|2019|09|04|15|30|1160600|99.580002|97.739998|97.82|98.919998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|97|NASDAQ|2019|09|05|15|30|1561800|99.900002|97.559998|97.650002|98.410004|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|96|NASDAQ|2019|09|06|15|30|1623800|97|95.089996|95.599998|95.779999|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|95|NASDAQ|2019|09|09|15|30|2582100|97.610001|95.239998|96.540001|96.669998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|94|NASDAQ|2019|09|10|15|30|2724600|101.5|97.010002|99.459999|97.349998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|93|NASDAQ|2019|09|11|15|30|1314200|101.370003|97.790001|98.720001|100|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|92|NASDAQ|2019|09|12|15|30|1575400|97.449997|95.57|96.169998|96.489998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|91|NASDAQ|2019|09|13|15|30|1189600|97.580002|95.529999|96.730003|96.610001|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|90|NASDAQ|2019|09|16|15|30|3985100|105.949997|101.809998|105.040001|104|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|8|NASDAQ|2020|01|13|15|30|2451800|92.110001|90.32|90.480003|91.989998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|89|NASDAQ|2019|09|17|15|30|2406400|105.300003|100.370003|100.449997|104.75|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|88|NASDAQ|2019|09|18|15|30|1550000|99.5|97.190002|98.25|99.349998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|87|NASDAQ|2019|09|19|15|30|1270700|99.839996|96.940002|97.330002|99.589996|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|86|NASDAQ|2019|09|20|15|30|3524400|98.190002|95.800003|96.82|97.349998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|85|NASDAQ|2019|09|23|15|30|1797800|99.139999|96.440002|98.290001|96.650002|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|84|NASDAQ|2019|09|24|15|30|2268100|98.290001|93.589996|94.489998|97.5|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|83|NASDAQ|2019|09|25|15|30|2199000|93.900002|91.07|93.239998|93.519997|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|82|NASDAQ|2019|09|26|15|30|2467300|93|89.089996|90.120003|92.75|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|81|NASDAQ|2019|09|27|15|30|1680800|90.900002|88.900002|89.989998|89|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|80|NASDAQ|2019|09|30|15|30|1125800|90.400002|88.599998|89.910004|89.809998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|7|NASDAQ|2020|01|14|15|30|2048500|91.760002|89.910004|91.260002|90.57|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|79|NASDAQ|2019|10|01|15|30|3069100|89.489998|85|85|88.949997|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|78|NASDAQ|2019|10|02|15|30|2013100|85.18|82.440002|83.120003|84.650002|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|77|NASDAQ|2019|10|03|15|30|2143400|86.589996|82.32|85.889999|82.32|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|76|NASDAQ|2019|10|04|15|30|1328400|86.699997|83.989998|85.419998|86.220001|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|75|NASDAQ|2019|10|07|15|30|1750400|85.650002|83.360001|83.370003|85.360001|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|74|NASDAQ|2019|10|08|15|30|1900200|82.870003|80.769997|80.82|82.480003|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|73|NASDAQ|2019|10|09|15|30|1582500|82.389999|80.75|81.550003|81.839996|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|72|NASDAQ|2019|10|10|15|30|1334000|82.809998|81.139999|82.540001|81.639999|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|71|NASDAQ|2019|10|11|15|30|1397300|84.68|82.959999|83.639999|83.489998|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|70|NASDAQ|2019|10|14|15|30|1244200|84.699997|80.93|83.959999|82.18|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|6|NASDAQ|2020|01|15|15|30|1538700|91.720001|89.57|91.309998|90.769997|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|69|NASDAQ|2019|10|15|15|30|2119200|85.940002|82.660004|84.839996|83.019997|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|68|NASDAQ|2019|10|16|15|30|1516900|85.470001|83.339996|83.43|84.040001|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
FANG|67|NASDAQ|2019|10|17|15|30|1900500|85.110001|83.150002|84.040001|83.82|independentoilgas|0.1|0.7|0.7|12.23|0.89|711|usa|0.34|0.34|41.259998|basicmaterials|-|13670
