empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
FNJN|9|NASDAQ|2020|01|10|15|30|22200|2.27|2.23|2.23|2.25|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|99|NASDAQ|2019|09|03|15|30|21200|1.75|1.71|1.74|1.75|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|98|NASDAQ|2019|09|04|15|30|33400|1.79|1.71|1.77|1.72|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|97|NASDAQ|2019|09|05|15|30|33100|1.84|1.78|1.82|1.78|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|96|NASDAQ|2019|09|06|15|30|4400|1.83|1.8|1.81|1.8|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|95|NASDAQ|2019|09|09|15|30|80000|1.82|1.72|1.78|1.81|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|94|NASDAQ|2019|09|10|15|30|87800|1.78|1.72|1.75|1.76|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|93|NASDAQ|2019|09|11|15|30|56500|1.94|1.76|1.94|1.76|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|92|NASDAQ|2019|09|12|15|30|59600|2.03|1.93|2.03|1.97|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|91|NASDAQ|2019|09|13|15|30|64900|2.03|1.94|2|2.03|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|90|NASDAQ|2019|09|16|15|30|34600|2.01|1.92|1.97|1.92|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|8|NASDAQ|2020|01|13|15|30|24300|2.27|2.23|2.26|2.24|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|89|NASDAQ|2019|09|17|15|30|72000|2.01|1.96|1.98|1.98|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|88|NASDAQ|2019|09|18|15|30|82800|2.02|1.91|2|2|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|87|NASDAQ|2019|09|19|15|30|32000|2.02|1.96|2.01|1.99|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|86|NASDAQ|2019|09|20|15|30|66100|1.98|1.86|1.93|1.98|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|85|NASDAQ|2019|09|23|15|30|45300|2.06|1.91|2.05|1.92|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|84|NASDAQ|2019|09|24|15|30|31800|2.06|1.98|2.01|2.03|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|83|NASDAQ|2019|09|25|15|30|14900|2.08|2.01|2.06|2.01|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|82|NASDAQ|2019|09|26|15|30|10900|2.09|2.02|2.04|2.07|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|81|NASDAQ|2019|09|27|15|30|16900|2.04|1.98|1.99|2.02|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|80|NASDAQ|2019|09|30|15|30|3300|2.04|1.99|2.01|2.04|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|7|NASDAQ|2020|01|14|15|30|18600|2.27|2.23|2.23|2.24|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|79|NASDAQ|2019|10|01|15|30|14200|2.04|1.93|1.94|2.01|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|78|NASDAQ|2019|10|02|15|30|110800|1.99|1.88|1.88|1.92|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|77|NASDAQ|2019|10|03|15|30|109300|2.07|1.89|2.03|1.89|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|76|NASDAQ|2019|10|04|15|30|26700|2.03|1.95|2|2.03|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|75|NASDAQ|2019|10|07|15|30|20100|2.05|2|2.02|2|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|74|NASDAQ|2019|10|08|15|30|21400|2.04|1.99|2.01|2.01|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|73|NASDAQ|2019|10|09|15|30|45400|2.05|1.99|2.04|2|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|72|NASDAQ|2019|10|10|15|30|28500|2.07|2.01|2.04|2.04|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|71|NASDAQ|2019|10|11|15|30|18900|2.07|2.02|2.05|2.04|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|70|NASDAQ|2019|10|14|15|30|16300|2.06|2.02|2.04|2.02|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|6|NASDAQ|2020|01|15|15|30|20700|2.29|2.26|2.29|2.29|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|69|NASDAQ|2019|10|15|15|30|17800|2.08|2.01|2.05|2.01|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|68|NASDAQ|2019|10|16|15|30|66600|2.07|2.03|2.05|2.07|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|67|NASDAQ|2019|10|17|15|30|54400|2.08|2.01|2.02|2.06|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|66|NASDAQ|2019|10|18|15|30|8600|2.03|2.01|2.03|2.02|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|65|NASDAQ|2019|10|21|15|30|28500|2.08|2.03|2.04|2.03|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|64|NASDAQ|2019|10|22|15|30|38600|2.03|1.98|1.99|2.03|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|63|NASDAQ|2019|10|23|15|30|38500|1.99|1.93|1.94|1.98|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|62|NASDAQ|2019|10|24|15|30|31000|1.97|1.93|1.95|1.95|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|61|NASDAQ|2019|10|25|15|30|25100|1.97|1.94|1.95|1.94|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|60|NASDAQ|2019|10|28|14|30|44900|1.95|1.93|1.93|1.94|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|5|NASDAQ|2020|01|16|15|30|25900|2.36|2.28|2.33|2.33|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|59|NASDAQ|2019|10|29|14|30|29600|1.94|1.9|1.91|1.94|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|58|NASDAQ|2019|10|30|14|30|27500|1.93|1.9|1.93|1.9|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|57|NASDAQ|2019|10|31|14|30|36700|1.95|1.91|1.92|1.92|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|56|NASDAQ|2019|11|01|14|30|23300|1.93|1.87|1.9|1.93|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|55|NASDAQ|2019|11|04|15|30|59500|1.9|1.79|1.82|1.86|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|54|NASDAQ|2019|11|05|15|30|18300|1.89|1.8|1.89|1.83|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|53|NASDAQ|2019|11|06|15|30|61500|1.88|1.8|1.83|1.86|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|52|NASDAQ|2019|11|07|15|30|132700|1.85|1.73|1.75|1.84|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|51|NASDAQ|2019|11|08|15|30|79400|1.77|1.67|1.74|1.73|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|50|NASDAQ|2019|11|11|15|30|76000|1.82|1.73|1.8|1.75|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
FNJN|4|NASDAQ|2020|01|17|15|30|31700|2.35|2.3|2.3|2.31|applicationsoftware|3.1|3.9|3.9|-|-|9|usa|0|0|302.899994|technology|51.299999|61.130001
