empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
FORK|9|NASDAQ|2020|01|10|15|30|2800|2.352|2.22|2.352|2.22|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|99|NASDAQ|2019|09|03|15|30|1800|2.38|2.34|2.37|2.34|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|98|NASDAQ|2019|09|04|15|30|6800|2.48|2.303|2.36|2.34|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|97|NASDAQ|2019|09|05|15|30|7000|2.39|2.3|2.35|2.39|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|96|NASDAQ|2019|09|06|15|30|2800|2.31|2.3|2.31|2.3|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|95|NASDAQ|2019|09|09|15|30|2300|2.41|2.29|2.294|2.31|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|94|NASDAQ|2019|09|10|15|30|7000|2.61|2.31|2.32|2.45|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|93|NASDAQ|2019|09|11|15|30|6800|2.441|2.24|2.39|2.32|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|92|NASDAQ|2019|09|12|15|30|18400|2.579|2.324|2.44|2.46|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|91|NASDAQ|2019|09|13|15|30|12900|2.596|2.39|2.596|2.44|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|90|NASDAQ|2019|09|16|15|30|6700|2.61|2.53|2.58|2.6|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|8|NASDAQ|2020|01|13|15|30|4700|2.4|2.35|2.35|2.353|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|89|NASDAQ|2019|09|17|15|30|8500|2.75|2.55|2.55|2.71|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|88|NASDAQ|2019|09|18|15|30|400|2.5|2.5|2.5|2.5|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|87|NASDAQ|2019|09|19|15|30|9800|2.64|2.55|2.6|2.64|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|86|NASDAQ|2019|09|20|15|30|16800|2.67|2.59|2.67|2.59|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|85|NASDAQ|2019|09|23|15|30|9100|2.76|2.64|2.76|2.699|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|84|NASDAQ|2019|09|24|15|30|3500|2.78|2.739|2.76|2.739|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|83|NASDAQ|2019|09|25|15|30|7000|2.8|2.62|2.8|2.637|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|82|NASDAQ|2019|09|26|15|30|3900|2.765|2.71|2.743|2.746|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|81|NASDAQ|2019|09|27|15|30|600|2.683|2.68|2.68|2.683|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|80|NASDAQ|2019|09|30|15|30|1600|2.716|2.71|2.716|2.71|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|7|NASDAQ|2020|01|14|15|30|1100|2.35|2.26|2.26|2.35|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|79|NASDAQ|2019|10|01|15|30|4500|2.79|2.7|2.76|2.7|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|78|NASDAQ|2019|10|02|15|30|7300|2.85|2.72|2.815|2.79|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|77|NASDAQ|2019|10|03|15|30|4600|2.86|2.6|2.62|2.86|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|76|NASDAQ|2019|10|04|15|30|16100|2.714|2.233|2.63|2.7|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|75|NASDAQ|2019|10|07|15|30|4700|2.79|2.63|2.65|2.69|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|74|NASDAQ|2019|10|08|15|30|19700|2.71|2.31|2.71|2.52|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|73|NASDAQ|2019|10|09|15|30|2300|2.627|2.39|2.61|2.39|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
FORK|72|NASDAQ|2019|10|10|15|30|1900|2.68|2.62|2.68|2.64|homefurnishingsfixtures|71.010002|0.9|1.4|2.2|-|1056|china|0.52|0.14|-|consumergoods|3.6|34.900002
