empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
FTA|9|NASDAQ|2020|01|10|15|30|87800|56.48|56.099998|56.16|56.459999|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|99|NASDAQ|2019|09|03|15|30|55500|48.98|48.540001|48.93|48.98|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|98|NASDAQ|2019|09|04|15|30|64700|49.639999|49.330002|49.619999|49.400002|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|97|NASDAQ|2019|09|05|15|30|61500|50.830002|50.16|50.650002|50.16|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|96|NASDAQ|2019|09|06|15|30|37400|50.889999|50.540001|50.790001|50.73|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|95|NASDAQ|2019|09|09|15|30|143600|51.849998|51.029999|51.84|51.029999|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|94|NASDAQ|2019|09|10|15|30|99500|52.529999|51.759998|52.529999|51.759998|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|93|NASDAQ|2019|09|11|15|30|210400|52.970001|52.310001|52.970001|52.66|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|92|NASDAQ|2019|09|12|15|30|43700|53.049999|52.5|52.880001|52.970001|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|91|NASDAQ|2019|09|13|15|30|40500|53.360001|53.07|53.169998|53.139999|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|90|NASDAQ|2019|09|16|15|30|40300|53.299999|52.98|53.220001|53.07|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|8|NASDAQ|2020|01|13|15|30|56500|56.41|56.139999|56.389999|56.27|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|89|NASDAQ|2019|09|17|15|30|41700|53.080002|52.59|52.860001|53.080002|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|88|NASDAQ|2019|09|18|15|30|62800|52.77|52.360001|52.77|52.709999|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|87|NASDAQ|2019|09|19|15|30|29800|52.919998|52.5|52.57|52.900002|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|86|NASDAQ|2019|09|20|15|30|29600|52.84|52.299999|52.41|52.68|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|85|NASDAQ|2019|09|23|15|30|31800|52.529999|52.130001|52.389999|52.189999|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|84|NASDAQ|2019|09|24|15|30|43900|52.549999|51.59|51.810001|52.549999|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|83|NASDAQ|2019|09|25|15|30|112400|51.849998|51.220001|51.799999|51.400002|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|82|NASDAQ|2019|09|26|15|30|68500|51.73|51.290001|51.48|51.73|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
FTA|81|NASDAQ|2019|09|27|15|30|43900|51.82|51.189999|51.450001|51.619999|exchangetradedfund|-|-|-|-|1.89|-|usa|-|-|-|financial|-|-
