empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
GBLI|9|NASDAQ|2020|01|10|15|30|11600|30.66|30.02|30.370001|30.66|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|99|NASDAQ|2019|09|03|15|30|9800|26.66|25.25|25.25|26.6|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|98|NASDAQ|2019|09|04|15|30|16800|26|25.110001|25.309999|25.110001|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|97|NASDAQ|2019|09|05|15|30|9500|26.15|25.450001|25.549999|25.5|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|96|NASDAQ|2019|09|06|15|30|8400|25.870001|25.65|25.860001|25.85|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|95|NASDAQ|2019|09|09|15|30|11500|26|25.34|25.879999|25.709999|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|94|NASDAQ|2019|09|10|15|30|13100|26.370001|25.43|26.200001|25.629999|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|93|NASDAQ|2019|09|11|15|30|18200|26.49|25.5|26.440001|26.15|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|92|NASDAQ|2019|09|12|15|30|56000|27.190001|25.639999|26.799999|26.16|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|91|NASDAQ|2019|09|13|15|30|18100|27.700001|26.27|27.1|27.049999|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|90|NASDAQ|2019|09|16|15|30|43200|27.26|25.9|26.67|27.26|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|8|NASDAQ|2020|01|13|15|30|5200|30.610001|30.25|30.469999|30.459999|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|89|NASDAQ|2019|09|17|15|30|14500|28.52|26.52|26.66|27.75|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|88|NASDAQ|2019|09|18|15|30|16900|27.65|26.530001|26.690001|26.969999|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|87|NASDAQ|2019|09|19|15|30|16100|26.99|25.889999|25.889999|26.99|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|86|NASDAQ|2019|09|20|15|30|49200|27.43|25.870001|26.01|25.870001|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|85|NASDAQ|2019|09|23|15|30|24800|27.33|25.68|26.190001|27.27|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
GBLI|84|NASDAQ|2019|09|24|15|30|21800|27.25|25.73|25.969999|27.200001|propertycasualtyinsurance|2.9|-|-|-|3.17|410|ireland|0.42|0.42|0|financial|80.900002|450.709991
