empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
GLBZ|9|NASDAQ|2020|01|10|15|30|0|11.55|11.55|11.55|11.55|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|99|NASDAQ|2019|09|03|15|30|0|10.56|10.56|10.56|10.56|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|98|NASDAQ|2019|09|04|15|30|4900|10.52|10.5|10.52|10.5|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|97|NASDAQ|2019|09|05|15|30|3200|10.58|10.52|10.57|10.52|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|96|NASDAQ|2019|09|06|15|30|2100|10.58|10.55|10.58|10.55|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|95|NASDAQ|2019|09|09|15|30|0|10.58|10.58|10.58|10.58|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|94|NASDAQ|2019|09|10|15|30|300|10.51|10.51|10.51|10.51|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|93|NASDAQ|2019|09|11|15|30|4600|10.58|10.55|10.58|10.56|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|92|NASDAQ|2019|09|12|15|30|200|10.51|10.51|10.51|10.51|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|91|NASDAQ|2019|09|13|15|30|2700|10.59|10.36|10.36|10.54|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|90|NASDAQ|2019|09|16|15|30|200|10.37|10.37|10.37|10.37|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|8|NASDAQ|2020|01|13|15|30|0|11.55|11.55|11.55|11.55|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|89|NASDAQ|2019|09|17|15|30|1700|10.51|10.45|10.51|10.45|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|88|NASDAQ|2019|09|18|15|30|4200|10.42|10.22|10.22|10.37|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|87|NASDAQ|2019|09|19|15|30|100|10.22|10.22|10.22|10.22|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|86|NASDAQ|2019|09|20|15|30|800|10.95|10.95|10.95|10.95|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|85|NASDAQ|2019|09|23|15|30|800|10.96|10.92|10.94|10.93|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|84|NASDAQ|2019|09|24|15|30|4500|10.97|10.91|10.97|10.97|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|83|NASDAQ|2019|09|25|15|30|1900|10.84|10.8|10.8|10.84|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|82|NASDAQ|2019|09|26|15|30|100|10.8|10.8|10.8|10.8|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|81|NASDAQ|2019|09|27|15|30|200|10.8|10.8|10.8|10.8|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|80|NASDAQ|2019|09|30|15|30|2700|10.95|10.8|10.8|10.95|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|7|NASDAQ|2020|01|14|15|30|1000|11.6|11.59|11.6|11.59|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|79|NASDAQ|2019|10|01|15|30|100|10.8|10.8|10.8|10.8|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
GLBZ|78|NASDAQ|2019|10|02|15|30|400|10.8|10.8|10.8|10.8|regionalmidatlanticbanks|21.01|-|-|22.99|3.59|104|usa|0|0|-|financial|8.5|31.549999
