empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
GNMX|9|NASDAQ|2020|01|10|15|30|2284400|0.21|0.18|0.2|0.2|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|99|NASDAQ|2019|09|03|15|30|324500|0.19|0.17|0.18|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|98|NASDAQ|2019|09|04|15|30|1237800|0.18|0.16|0.17|0.18|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|97|NASDAQ|2019|09|05|15|30|244100|0.17|0.16|0.17|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|96|NASDAQ|2019|09|06|15|30|1352100|0.18|0.16|0.16|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|95|NASDAQ|2019|09|09|15|30|440300|0.17|0.16|0.16|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|94|NASDAQ|2019|09|10|15|30|315200|0.17|0.16|0.17|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|93|NASDAQ|2019|09|11|15|30|501500|0.18|0.17|0.18|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|92|NASDAQ|2019|09|12|15|30|210800|0.18|0.17|0.17|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|91|NASDAQ|2019|09|13|15|30|2151600|0.2|0.17|0.18|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|90|NASDAQ|2019|09|16|15|30|395400|0.19|0.18|0.19|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|8|NASDAQ|2020|01|13|15|30|1983000|0.2|0.18|0.18|0.2|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|89|NASDAQ|2019|09|17|15|30|557400|0.19|0.19|0.19|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|88|NASDAQ|2019|09|18|15|30|322900|0.2|0.19|0.19|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|87|NASDAQ|2019|09|19|15|30|238300|0.19|0.18|0.18|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|86|NASDAQ|2019|09|20|15|30|323500|0.19|0.17|0.17|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|85|NASDAQ|2019|09|23|15|30|215300|0.18|0.17|0.17|0.18|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|84|NASDAQ|2019|09|24|15|30|567100|0.18|0.16|0.16|0.18|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|83|NASDAQ|2019|09|25|15|30|526200|0.17|0.16|0.17|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|82|NASDAQ|2019|09|26|15|30|268200|0.17|0.16|0.17|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|81|NASDAQ|2019|09|27|15|30|302200|0.17|0.16|0.17|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|80|NASDAQ|2019|09|30|15|30|321300|0.18|0.15|0.15|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|7|NASDAQ|2020|01|14|15|30|1108000|0.19|0.18|0.18|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|79|NASDAQ|2019|10|01|15|30|582600|0.17|0.15|0.16|0.15|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|78|NASDAQ|2019|10|02|15|30|1274800|0.17|0.15|0.16|0.17|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|77|NASDAQ|2019|10|03|15|30|370300|0.16|0.15|0.16|0.16|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|76|NASDAQ|2019|10|04|15|30|410500|0.16|0.15|0.16|0.16|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|75|NASDAQ|2019|10|07|15|30|960000|0.16|0.13|0.14|0.16|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|74|NASDAQ|2019|10|08|15|30|706400|0.16|0.14|0.15|0.15|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|73|NASDAQ|2019|10|09|15|30|387100|0.15|0.14|0.14|0.15|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|72|NASDAQ|2019|10|10|15|30|474500|0.14|0.14|0.14|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|71|NASDAQ|2019|10|11|15|30|417600|0.14|0.14|0.14|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|70|NASDAQ|2019|10|14|15|30|241000|0.14|0.13|0.13|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|6|NASDAQ|2020|01|15|15|30|1437500|0.19|0.18|0.18|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|69|NASDAQ|2019|10|15|15|30|693700|0.14|0.13|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|68|NASDAQ|2019|10|16|15|30|537400|0.13|0.11|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|67|NASDAQ|2019|10|17|15|30|303700|0.13|0.12|0.12|0.12|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|66|NASDAQ|2019|10|18|15|30|497900|0.14|0.13|0.14|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|65|NASDAQ|2019|10|21|15|30|224900|0.14|0.13|0.13|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|64|NASDAQ|2019|10|22|15|30|247400|0.14|0.12|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|63|NASDAQ|2019|10|23|15|30|226200|0.14|0.13|0.13|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|62|NASDAQ|2019|10|24|15|30|434300|0.14|0.13|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|61|NASDAQ|2019|10|25|15|30|353400|0.13|0.13|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|60|NASDAQ|2019|10|28|14|30|198000|0.14|0.13|0.13|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|5|NASDAQ|2020|01|16|15|30|1885500|0.2|0.18|0.19|0.18|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|59|NASDAQ|2019|10|29|14|30|412400|0.14|0.13|0.13|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|58|NASDAQ|2019|10|30|14|30|357900|0.13|0.12|0.12|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|57|NASDAQ|2019|10|31|14|30|281900|0.13|0.12|0.13|0.12|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|56|NASDAQ|2019|11|01|14|30|359600|0.13|0.12|0.13|0.12|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|55|NASDAQ|2019|11|04|15|30|532000|0.13|0.13|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|54|NASDAQ|2019|11|05|15|30|718200|0.15|0.13|0.14|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|53|NASDAQ|2019|11|06|15|30|448800|0.15|0.13|0.13|0.15|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|52|NASDAQ|2019|11|07|15|30|674800|0.14|0.12|0.13|0.14|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|51|NASDAQ|2019|11|08|15|30|357400|0.14|0.13|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|50|NASDAQ|2019|11|11|15|30|242700|0.14|0.12|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|4|NASDAQ|2020|01|17|15|30|1434300|0.2|0.18|0.18|0.2|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|49|NASDAQ|2019|11|12|15|30|1014900|0.14|0.12|0.12|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|48|NASDAQ|2019|11|13|15|30|584300|0.13|0.12|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|47|NASDAQ|2019|11|14|15|30|943300|0.14|0.12|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|46|NASDAQ|2019|11|15|15|30|388900|0.13|0.12|0.12|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|45|NASDAQ|2019|11|18|15|30|715300|0.13|0.12|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|44|NASDAQ|2019|11|19|15|30|355800|0.13|0.13|0.13|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|43|NASDAQ|2019|11|20|15|30|325600|0.13|0.12|0.12|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|42|NASDAQ|2019|11|21|15|30|508700|0.13|0.12|0.12|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|41|NASDAQ|2019|11|22|15|30|540200|0.13|0.11|0.12|0.13|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|40|NASDAQ|2019|11|25|15|30|273900|0.12|0.12|0.12|0.12|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|3|NASDAQ|2020|01|21|15|30|1794600|0.2|0.18|0.19|0.19|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
GNMX|39|NASDAQ|2019|11|26|15|30|246200|0.12|0.12|0.12|0.12|biotechnology|5.7|0.7|0.7|-|-|14|usa|-|-|24.1|healthcare|7|15.21
